"rank","token","centered_eta_norm","selected","document_frequency","mean_weight","variance"
1,"film",37.056685748171,TRUE,118,0.2306716911,0.1694579058
2,"champion",35.9647101612775,TRUE,145,0.2493203491,0.1419873957
3,"match",30.3096776778323,TRUE,104,0.202227768,0.1454662523
4,"tech",30.2366943863422,TRUE,82,0.1694688451,0.1273049455
5,"actor",29.697491097103,TRUE,212,0.3086562196,0.1114906173
6,"team",29.0647723737683,TRUE,131,0.2085139609,0.110676635
7,"football",29.0219351280272,TRUE,106,0.1932351342,0.1418960023
8,"award",28.3169248462999,TRUE,99,0.1936207862,0.1631453367
9,"software",26.7151537064129,TRUE,69,0.1366783806,0.1346246663
10,"computer",25.4483612934727,TRUE,80,0.1291885552,0.09696283153
11,"awards",24.0538638831952,TRUE,64,0.1650314761,0.1611080536
12,"internet",23.2551497859123,TRUE,72,0.1342159439,0.1146720682
13,"win",22.5777052792384,TRUE,146,0.3233395722,0.2245556326
14,"player",21.8637384667166,TRUE,148,0.2346624067,0.1167228115
15,"won",21.5546502397679,TRUE,177,0.3041922966,0.1474893149
16,"oscar",21.3811976391741,TRUE,56,0.1411905524,0.1832108283
17,"club",21.1319477076538,TRUE,135,0.1701405717,0.08098740464
18,"movie",20.4707719523165,TRUE,68,0.1520084946,0.1147284262
19,"computers",19.1681779796812,TRUE,77,0.107174968,0.06686468252
20,"singer",18.7220263999244,TRUE,76,0.1383121663,0.1145048588
21,"actors",18.4689615010536,TRUE,84,0.1311541106,0.07510300677
22,"people",18.2288175634855,TRUE,105,0.1519974208,0.08283655061
23,"mobile",17.4896650580389,TRUE,46,0.1068765467,0.1193033324
24,"coach",17.0719704961487,TRUE,91,0.1371568782,0.1304164918
25,"users",16.8971209420963,TRUE,69,0.09921026875,0.06079848909
26,"digital",16.4343617559091,TRUE,43,0.1270289284,0.149694468
27,"movies",15.4760419058835,TRUE,79,0.1416605562,0.08865198331
28,"because",15.1466908034279,TRUE,205,0.3069867148,0.1354007007
29,"old",15.0876830742455,TRUE,104,0.299084459,0.2845705288
30,"firms",15.0379729177877,TRUE,55,0.09793044743,0.07179275596
31,"microsoft",14.4457113754745,TRUE,30,0.09833294431,0.1295198034
32,"star",14.4155789623794,TRUE,96,0.1756716952,0.1248596149
33,"song",14.1535607144377,TRUE,114,0.1397980656,0.08468951642
34,"score",13.9981599355569,TRUE,79,0.1484673016,0.11475807
35,"england",13.9824673817316,TRUE,142,0.1784269581,0.1098432109
36,"net",13.5456755472714,TRUE,36,0.1078248899,0.1292356181
37,"cup",13.5375450599333,TRUE,36,0.1124473097,0.131527767
38,"tennis",13.5275698502482,TRUE,36,0.1118008477,0.156334847
39,"music",13.2123312539426,TRUE,94,0.1901213351,0.1379008624
40,"cast",13.1347095578127,TRUE,107,0.1347718923,0.07671821059
41,"companies",12.6606594177854,TRUE,83,0.1069490224,0.05495654088
42,"show",12.3801032901794,TRUE,103,0.1750934009,0.1276695435
43,"download",12.0871114069952,TRUE,38,0.1103468023,0.1260037613
44,"cost",11.7253324421592,TRUE,72,0.1354862008,0.09809083122
45,"medal",11.2191229517045,TRUE,135,0.1742490942,0.0835623959
46,"manager",11.1682548819046,TRUE,82,0.1533922588,0.1261357855
47,"films",10.9808466308364,TRUE,76,0.1176614102,0.06343603701
48,"price",10.7038909202134,TRUE,76,0.1905624552,0.180807007
49,"scotland",10.6998658468236,TRUE,75,0.1511669671,0.1729791291
50,"web",10.6106788714157,TRUE,43,0.07976275912,0.07491106211
51,"electronic",10.5759360391366,TRUE,52,0.09035026466,0.06164713869
52,"news",10.508736043924,TRUE,56,0.1269418607,0.1168782172
53,"phones",10.3254715944971,TRUE,37,0.0763370077,0.06536434659
54,"bbc",10.2717681497596,TRUE,127,0.373110276,0.4100428175
55,"nominated",10.2514080666818,TRUE,41,0.09169231794,0.08516571757
56,"six",10.0658729368964,TRUE,46,0.1073147648,0.1068127691
57,"rugby",9.67401202588413,TRUE,40,0.09512712152,0.1238948956
58,"band",9.58320367886171,TRUE,55,0.09529523535,0.08974703808
59,"chelsea",9.52785019703451,TRUE,24,0.09576635016,0.2120236374
60,"final",9.45498012676947,TRUE,58,0.1319382765,0.1289209085
61,"devices",9.38958816998728,TRUE,51,0.07899449204,0.05101829806
62,"firm",9.37415671520819,TRUE,51,0.07998967055,0.05981831549
63,"online",9.18087212437906,TRUE,36,0.08178804187,0.06968182355
64,"she",9.11502845235011,TRUE,109,0.1968032017,0.1439708441
65,"play",8.96690833301409,TRUE,170,0.2909178066,0.1441337206
66,"directed",8.95749203868163,TRUE,45,0.08921006866,0.07255948265
67,"starring",8.92467545603111,TRUE,72,0.09056380493,0.05053211967
68,"championship",8.89458315616812,TRUE,50,0.09337158848,0.07773416597
69,"yes",8.81910766383184,TRUE,175,0.1660816532,0.05199904915
70,"songs",8.61896328890013,TRUE,86,0.1271882602,0.07673886759
71,"phone",8.58476598966823,TRUE,40,0.07117281063,0.05712225547
72,"australia",8.30100880733921,TRUE,54,0.1283505641,0.144952644
73,"boss",8.20086229828618,TRUE,34,0.09220602959,0.1183682737
74,"free",8.13965046637368,TRUE,38,0.08549004537,0.08416152184
75,"consumers",8.09317525788806,TRUE,35,0.06926397879,0.05757888946
76,"consumer",8.0002203923374,TRUE,30,0.07056565865,0.07375664825
77,"players",7.92510221663521,TRUE,109,0.176131807,0.0976186712
78,"spain",7.90741625584372,TRUE,63,0.108668638,0.1069642108
79,"musical",7.79377676372149,TRUE,78,0.1399865716,0.1172321115
80,"open",7.7773687847007,TRUE,81,0.1491450324,0.1396202747
81,"andy",7.69333838550063,TRUE,43,0.1183245505,0.1603307957
82,"europe",7.67072894119008,TRUE,106,0.2324941592,0.1848249932
83,"game",7.48818660932764,TRUE,131,0.2133684572,0.1287770899
84,"ireland",7.35266321664505,TRUE,85,0.1539150205,0.1691301924
85,"wireless",7.17028466396368,TRUE,51,0.06462528854,0.05501328298
86,"festival",7.11057825222203,TRUE,124,0.1371373265,0.07386904149
87,"tournament",7.08916531289808,TRUE,60,0.08015905997,0.0512335617
88,"coaching",6.88424582139919,TRUE,34,0.08327664674,0.08543383283
89,"market",6.64511599746433,TRUE,43,0.07886806813,0.06349632306
90,"hollywood",6.61749792495142,TRUE,33,0.09073946461,0.1032139246
91,"clubs",6.57844805147046,TRUE,65,0.0926978662,0.06189347103
92,"launched",6.49644662913706,TRUE,46,0.09071501962,0.06772634048
93,"launch",6.47109784312122,TRUE,42,0.09478562815,0.07673832551
94,"said",6.06935586215843,TRUE,285,0.4945901165,0.1303818758
95,"released",6.01917870396227,TRUE,98,0.1484404026,0.09753527724
96,"media",5.96065602389719,TRUE,40,0.08875230655,0.08330263753
97,"injuries",5.88419961504606,TRUE,38,0.09326742196,0.08345229015
98,"stadium",5.81155347854934,TRUE,108,0.1002046716,0.05001828766
99,"nominations",5.7626243968979,TRUE,33,0.07076425114,0.05672343054
100,"fee",5.71607506158097,TRUE,66,0.1448495233,0.109908448
101,"apple",5.71036333925703,TRUE,32,0.07025062811,0.09147558561
102,"comedy",5.65792558665707,TRUE,29,0.07049586628,0.06442374601
103,"written",5.60731930199579,TRUE,66,0.1071033471,0.07418060731
104,"european",5.59781977056696,TRUE,67,0.1623433474,0.140788394
