"study","cell_id","method","target","n","d","kappa","reps","valid_reps","selected_q","selected_q_sd","target_F1","target_F1_sd","target_exact","target_exact_sd","path_oracle_F1","path_oracle_F1_sd","selector_F1_gap","selector_F1_gap_sd","ARI","ARI_sd","test_NLL","test_NLL_sd","oracle_test_NLL","oracle_test_NLL_sd","oracle_gap_test_NLL","oracle_gap_test_NLL_sd","target_MSE","target_MSE_sd","oracle_target_MSE","oracle_target_MSE_sd","oracle_gap_target_MSE","oracle_gap_target_MSE_sd","elapsed_sec","elapsed_sec_sd","oracle_elapsed_sec","oracle_elapsed_sec_sd","target_F1_mcse","oracle_gap_test_NLL_mcse"
"A","A_eb050_heterogeneous_n300","E-CGL","S_eta",300,200,"30,40,50,60",100,100,16.6,1.17206543065538,0.982748055522049,0.0324435812332528,0.69,0.464823198711732,0.989730106705439,0.0218259520705861,0.00698205118338945,0.0197775952383246,0.857026819695025,0.0110227398979682,-247.206149456024,0.0805702077803529,-247.22007565413,0.0761111860449356,0.0139261981057697,0.0259179042590715,0.228959343734078,0.0777754224408478,0.196013787562128,0.0392989630555923,0.0329455561719498,0.061001060046794,49.8228,4.79502416336694,0.0799999999999989,0.0286744175568089,0.00324435812332528,0.00259179042590715
"C","C_eb050_heterogeneous_n600","E-CGL","S_eta",600,200,"30,40,50,60",100,100,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,1,0,0.00180035650623885,0.00829334273584588,0.866416558171795,0.00792188831739083,-247.434026292883,0.0544683732654668,-247.435083394456,0.054025237542994,0.00105710157338819,0.00514663978232567,0.0994674128045382,0.0245311706244941,0.0971108589012546,0.0205194452803489,0.00235655390328352,0.0109419529998983,45.1051,2.95852935586158,0.0878999999999995,0.0237110126568246,0.000829334273584589,0.000514663978232567
"A","A_eb050_heterogeneous_n1000","E-CGL","S_eta",1000,200,"30,40,50,60",100,100,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,1,0,0.000606060606060601,0.00426379679200874,0.869010304631286,0.00685895338057913,-247.516606610616,0.0577255884218546,-247.516868238677,0.057350542773521,0.000261628060551118,0.00188962897769391,0.061404392779981,0.0131597533837072,0.0608402057769817,0.012600945114819,0.000564187002999289,0.00407032735309161,47.2613,2.06582468429988,0.1043,0.0307894446034662,0.000426379679200874,0.000188962897769391
"C","C_eb050_heterogeneous_n2000","E-CGL","S_eta",2000,200,"30,40,50,60",100,100,16,0,1,0,1,0,1,0,0,0,0.870819160937283,0.00778292905895932,-247.572083477772,0.0521893786972054,-247.572085353071,0.0521976186014357,1.87529881998216e-06,5.80525141863152e-05,0.0278211188671018,0.00609318023746664,0.0278356544980734,0.00610646172330621,-1.45356309716179e-05,0.000150565522986287,59.6459,1.72183957006754,0.1396,0.0335122471205793,0,5.80525141863152e-06
"A","A_eb050_equal_n300","E-CGL","S_eta",300,200,"45,45,45,45",100,100,16.26,0.524548868220603,0.992190985485103,0.0155676504053102,0.77,0.422952584681651,1,0,0.00780901451489682,0.0155676504053102,0.855892469788942,0.00886925034402364,-247.009830934364,0.0531977119921419,-247.018396552989,0.0500210569062727,0.00856561862453106,0.0171377574635932,0.221229021057294,0.0599479958498118,0.201047808240333,0.0425223578194846,0.0201812128169615,0.0400955013011337,39.1492,5.04396482657415,0.0677000000000003,0.0201436758504423,0.00155676504053102,0.00171377574635932
"C","C_eb050_equal_n600","E-CGL","S_eta",600,200,"45,45,45,45",100,100,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,1,0,0.000606060606060601,0.00426379679200874,0.86364082323628,0.00765153018986567,-247.236474694092,0.046125329656607,-247.236829709093,0.0462649848969711,0.000355015000548633,0.00287292757524993,0.097066612972993,0.0214897104835061,0.0962673866821477,0.0202414936868932,0.000799226290845292,0.00624326742937318,31.4692,2.92279397256472,0.0734000000000009,0.0236224512280203,0.000426379679200874,0.000287292757524993
"A","A_eb050_equal_n1000","E-CGL","S_eta",1000,200,"45,45,45,45",100,100,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,1,0,0.00180035650623885,0.00829334273584588,0.866978065445922,0.00730159425680784,-247.316258464454,0.0398686676936526,-247.316909384359,0.0400280606869137,0.000650919905619389,0.00319891161734898,0.0612599077580339,0.0161334673967001,0.0596638868012426,0.0139382830672201,0.00159602095679136,0.00773506652664203,32.0954,2.61974492551231,0.0894999999999995,0.0206644671361305,0.000829334273584589,0.000319891161734898
"C","C_eb050_equal_n2000","E-CGL","S_eta",2000,200,"45,45,45,45",100,100,16,0,1,0,1,0,1,0,0,0,0.86863479117596,0.00768398555315346,-247.378167196069,0.0415075640323588,-247.37815310657,0.041514849105736,-1.40894991213258e-05,3.53190198838443e-05,0.028224846316738,0.00552370940457961,0.0282435473526402,0.00553597303497563,-1.87010359022598e-05,6.37139704450056e-05,38.597,2.01312386026485,0.124899999999999,0.025995143291537,0,3.53190198838443e-06
"A","A_eb050_heterogeneous_n300","M-CGL","S_mu",300,200,"30,40,50,60",100,100,20.73,4.12397523236643,0.89738332535734,0.0603595415314996,0.08,0.272659924344291,0.911853586103209,0.0482626682843495,0.0144702607458699,0.025160978015564,0.812252728701147,0.0479571293561376,-247.059858193923,0.11634197089718,-247.19643704965,0.0740692428397544,0.136578855726971,0.0963488907527879,0.000822730136083578,0.000368556470130498,0.000460677100471017,4.46613859055749e-05,0.000362053035612561,0.000363472034587611,456.5029,136.481930999986,0.3017,0.116342015826032,0.00603595415314996,0.00963488907527879
"C","C_eb050_heterogeneous_n600","M-CGL","S_mu",600,200,"30,40,50,60",100,100,20.39,0.802710056211727,0.99021072936643,0.0190601556172207,0.72,0.451260859854213,0.990767127227706,0.0172173856133313,0.00055639786127591,0.0039269908455185,0.864034221256707,0.00807267905208139,-247.420162358075,0.054499629905385,-247.424536838825,0.0529074463405791,0.00437448074997917,0.00802421883568172,0.0002375604163924,2.63420377551584e-05,0.00023278402648025,2.33226529947704e-05,4.77638991215041e-06,9.41591180527959e-06,438.877,112.103383016921,0.232,0.0812155132715396,0.00190601556172207,0.000802421883568172
