"phase","cell_id","method","target","planned_reps","completed_reps","completion_rate","candidate_count","candidate_count_sd","min_path_q","min_path_q_sd","max_path_q","max_path_q_sd","exact_target_candidate","exact_target_candidate_sd","BIC_q","BIC_q_sd","BIC_target_F1","BIC_target_F1_sd","BIC_exact_target","BIC_exact_target_sd","EBIC_g05_q","EBIC_g05_q_sd","EBIC_g05_target_F1","EBIC_g05_target_F1_sd","EBIC_g1_q","EBIC_g1_q_sd","EBIC_g1_target_F1","EBIC_g1_target_F1_sd","path_oracle_q","path_oracle_q_sd","path_oracle_F1","path_oracle_F1_sd","BIC_to_oracle_F1_gap","BIC_to_oracle_F1_gap_sd","path_oracle_BIC_gap","path_oracle_BIC_gap_sd"
"core","A_eb025_equal_n1000","E-ACGL","truth_F1_eta",100,100,1,16.96,2.82814141060588,3.59,5.14849198280134,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.000606060606060601,0.00426379679200874,0.106445864289999,0.913550282380459
"core","A_eb025_equal_n300","E-ACGL","truth_F1_eta",100,100,1,61.83,4.86806746133215,8.52,4.83981801143787,200,0,1,0,16.14,0.348735088019777,0.995757575757576,0.0105677299399932,0.86,0.348735088019777,16.06,0.238683256575942,0.998181818181818,0.00723282595684667,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.00424242424242421,0.0105677299399932,0.374946089150035,1.12480573918742
"core","A_eb025_heterogeneous_n1000","E-ACGL","truth_F1_eta",100,100,1,7.63,2.19114379060597,12.22,0.62893207547044,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16,0,1,0,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0250514437298989,0.178940788203013
"core","A_eb025_heterogeneous_n300","E-ACGL","truth_F1_eta",100,100,1,47.47,5.33987288465207,12.82,1.1580199052737,200,0,1,0,16.15,0.457816513022367,0.995524318818437,0.013479018727409,0.88,0.32659863237109,16.04,0.315268043724605,0.998839826839827,0.00906241669827155,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.00447568118156352,0.013479018727409,0.280267162769742,1.53484224840636
"core","A_eb050_equal_n1000","E-ACGL","truth_F1_eta",100,100,1,25.74,3.87590328344584,3.64,5.08815221168677,200,0,1,0,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16,0,1,0,0.00180035650623885,0.00829334273584588,0.126097877590801,0.711880408964501
"core","A_eb050_equal_n300","E-ACGL","truth_F1_eta",100,100,1,71.79,4.90576861017371,7.15,5.0838921699776,200,0,1,0,16.23,0.468287229478799,0.993065953654189,0.014055989994459,0.79,0.409360180740332,16.11,0.31446603773522,0.996666666666667,0.00952927387076417,16.03,0.171446607997765,0.999090909090909,0.005195351757508,16,0,1,0,0.00693404634581101,0.014055989994459,0.529492310899659,1.40158288988676
"core","A_eb050_heterogeneous_n1000","E-ACGL","truth_F1_eta",100,100,1,10.98,2.54248744819762,12.64,1.07797040869414,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0768932346295332,0.642565954286149
"core","A_eb050_heterogeneous_n300","E-ACGL","truth_F1_eta",100,100,1,54.89,5.82210174137044,13.13,1.30774692513575,200,0,0.98,0.14070529413629,16.18,0.45792681696639,0.994598930481283,0.0136636180595784,0.85,0.358870281282637,16.05,0.297294195005282,0.9978770628486,0.008832446328301,16,0.14213381090374,0.999374389051808,0.00440353102809412,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.00479500891265596,0.0132055039969715,0.266951205999649,0.983453075255597
"core","A_eb100_equal_n1000","E-ACGL","truth_F1_eta",100,100,1,39.06,4.17016822565985,3.03,4.86474640405413,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0613144178298535,0.431818516525876
"core","A_eb100_equal_n300","E-ACGL","truth_F1_eta",100,100,1,88.46,6.30923645510807,8.42,4.39278563744757,200,0,0.89,0.31446603773522,16.33,0.829445476194667,0.987367634196756,0.0327741354887004,0.77,0.422952584681651,16.06,0.838709928064729,0.991476349836122,0.0325040031482048,16.02,0.828531620678804,0.992062860100052,0.0323874454831321,16.06,0.663933792488438,0.993030558590331,0.0248346994176846,0.00566292439357454,0.0144626586944092,0.385733033129654,1.44524903099986
"core","A_eb100_heterogeneous_n1000","E-ACGL","truth_F1_eta",100,100,1,16.82,3.77225383423478,12.16,0.598314129851367,200,0,1,0,16.01,0.1,0.99969696969697,0.00303030303030301,0.99,0.1,16,0,1,0,16,0,1,0,16,0,1,0,0.000303030303030301,0.00303030303030301,0.00135038923006505,0.0135038923006505
"core","A_eb100_heterogeneous_n300","E-ACGL","truth_F1_eta",100,100,1,63.99,6.07943212393188,12.42,0.830966335362059,200,0,0.26,0.440844002276808,15.23,1.39156913104044,0.947652592941312,0.041745302313041,0.22,0.416333199893227,14.76,1.37891774280199,0.942718033335288,0.0428782043501018,14.53,1.36666666666667,0.93665396014812,0.0430962983453682,15.45,1.3586609569571,0.955548669892671,0.0369823949504865,0.00789607695135897,0.0154123374082139,2.58520851220994,7.5691660112447
"core","B_crossed_support_n400","E-ACGL","truth_F1_eta",100,100,1,7.46,0.869459369930301,5.95,0.358870281282637,24,0,0.9,0.301511344577764,11.9,0.333333333333333,0.993909749670619,0.0205346563521973,0.9,0.301511344577764,11.9,0.333333333333333,0.993909749670619,0.0205346563521973,11.88,0.383497988352882,0.993000658761528,0.022206569002381,11.91,0.320825954263823,0.994380764163373,0.0180426780072722,0.00047101449275363,0.0047101449275363,0.0208989075300087,0.208989075300087
"core","B_pure_concentration_n1000","E-ACGL","truth_F1_eta",100,100,1,5.71,2.06605562814409,16,0,200,0,1,0,16.09,0.287623491264661,0.997272727272727,0.00871586337165633,0.91,0.287623491264661,16.05,0.21904291355759,0.998484848484849,0.00663766404719965,16.04,0.196946385566932,0.998787878787879,0.00596807228990699,16,0,1,0,0.0027272727272727,0.00871586337165633,0.326900145070977,1.34920606377394
"core","B_shared_canonical_n1000","E-ACGL","truth_F1_eta",100,100,1,16.14,3.38451613897016,15.64,1.07797040869414,200,0,1,0,20.02,0.14070529413629,0.999512195121951,0.00343183644234853,0.98,0.14070529413629,20.01,0.1,0.999756097560976,0.0024390243902439,20,0,1,0,20,0,1,0,0.000487804878048781,0.00343183644234853,0.0321457715705037,0.259322434072073
"core","C_eb050_equal_n2000","E-ACGL","truth_F1_eta",100,100,1,7.51,2.24506192126254,1.4,4.19234511649,200,0,1,0,16,0,1,0,1,0,16,0,1,0,16,0,1,0,16,0,1,0,0,0,0,0
"core","C_eb050_equal_n600","E-ACGL","truth_F1_eta",100,100,1,45.35,4.12524869161567,4.95,5.55482318405011,200,0,1,0,16.02,0.14070529413629,0.999393939393939,0.00426379679200874,0.98,0.14070529413629,16.01,0.1,0.99969696969697,0.00303030303030301,16,0,1,0,16,0,1,0,0.000606060606060601,0.00426379679200874,0.0342007036402356,0.272188237499737
"core","C_eb050_heterogeneous_n2000","E-ACGL","truth_F1_eta",100,100,1,5.15,0.967919772950572,12.21,0.555868598672293,200,0,1,0,16,0,1,0,1,0,16,0,1,0,16,0,1,0,16,0,1,0,0,0,0,0
"core","C_eb050_heterogeneous_n600","E-ACGL","truth_F1_eta",100,100,1,25.93,4.483989475474,12.83,1.27172038092999,200,0,1,0,16.06,0.277797979063414,0.998199643493761,0.00829334273584588,0.95,0.21904291355759,16,0,1,0,16,0,1,0,16,0,1,0,0.00180035650623885,0.00829334273584588,0.0619471701001748,0.339721955159873
