"component","majority_class","test_n","purity","alpha","kappa","positive_tokens","negative_tokens"
"CISI-1","CISI",147,1,0.17742619863964,692.121829673087,"scientific (+133.9); information (+125.4); science (+100.7)","pressure (-88.0); flow (-86.4); mach (-77.3)"
"CISI-2","CISI",85,1,0.130503608931195,1147.22532062006,"library (+515.7); librarian (+453.2); libraries (+388.2)","flow (-98.2); pressure (-79.6); mach (-75.7)"
"CISI-3","CISI",59,1,0.0684671688349959,1190.91985415995,"retrieval (+539.4); retrieve (+345.1); information (+297.3)","flow (-96.9); pressure (-86.7); mach (-77.4)"
"CRAN-1","CRAN",78,0.923076923076923,0.106129146169892,687.085441963222,"heat (+106.4); thermal (+67.5); temperature (+66.4)","library (-68.7); information (-65.5); retrieval (-62.8)"
"CRAN-2","CRAN",60,1,0.0771259411638717,1291.72027368034,"boundary (+339.1); lam (+289.4); layers (+286.3)","library (-68.7); information (-64.1); retrieval (-63.0)"
"CRAN-3","CRAN",56,1,0.0716650887956488,1099.78654160213,"flow (+230.3); super (+188.6); wing (+151.8)","library (-68.7); retrieval (-63.0); information (-62.8)"
"CRAN-4","CRAN",55,1,0.0630009799599922,1285.4691284043,"mach (+364.6); tunnel (+222.2); pressure (+220.2)","library (-68.7); information (-66.0); retrieval (-63.0)"
"CRAN-5","CRAN",37,1,0.0475730280705912,1223.58003313844,"buck (+434.4); shell (+223.1); shells (+207.1)","flow (-87.5); mach (-77.3); information (-69.0)"
"MED-1","MED",123,1,0.155546091182617,700.059302938071,"inhibitor (+137.2); rat (+109.8); dose (+92.5)","flow (-96.2); theory (-88.3); mach (-76.2)"
"MED-2","MED",79,1,0.102562748251556,679.352327247674,"child (+128.9); disease (+115.1); children (+109.1)","flow (-91.6); theory (-81.3); mach (-77.4)"
