"K","original_component","component","majority_class","test_n","purity","alpha","kappa","display_order","n_CISI","n_CRAN","n_MED"
3,2,"CISI-1","CISI",290,1,0.376030573971764,740.139827594061,1,290,0,0
3,1,"CRAN-1","CRAN",280,1,0.357870984525943,810.737901818931,2,0,280,0
3,3,"MED-1","MED",209,0.990430622009569,0.266098441502293,610.164989027988,3,2,0,207
10,1,"CISI-1","CISI",147,1,0.17742619863964,692.121829673087,1,147,0,0
10,3,"CISI-2","CISI",85,1,0.130503608931195,1147.22532062006,2,85,0,0
10,5,"CISI-3","CISI",59,1,0.0684671688349959,1190.91985415995,3,59,0,0
10,2,"CRAN-1","CRAN",78,0.923076923076923,0.106129146169892,687.085441963222,4,1,72,5
10,9,"CRAN-2","CRAN",60,1,0.0771259411638717,1291.72027368034,5,0,60,0
10,4,"CRAN-3","CRAN",56,1,0.0716650887956488,1099.78654160213,6,0,56,0
10,10,"CRAN-4","CRAN",55,1,0.0630009799599922,1285.4691284043,7,0,55,0
10,6,"CRAN-5","CRAN",37,1,0.0475730280705912,1223.58003313844,8,0,37,0
10,7,"MED-1","MED",123,1,0.155546091182617,700.059302938071,9,0,0,123
10,8,"MED-2","MED",79,1,0.102562748251556,679.352327247674,10,0,0,79
