"K","original_component","component","true_class","count","class_total","row_prop","component_prop","display_order"
3,2,"CISI-1","CISI",290,292,0.993150684931507,1,1
3,2,"CISI-1","CRAN",0,280,0,0,1
3,2,"CISI-1","MED",0,207,0,0,1
3,1,"CRAN-1","CISI",0,292,0,0,2
3,1,"CRAN-1","CRAN",280,280,1,1,2
3,1,"CRAN-1","MED",0,207,0,0,2
3,3,"MED-1","CISI",2,292,0.00684931506849315,0.00956937799043062,3
3,3,"MED-1","CRAN",0,280,0,0,3
3,3,"MED-1","MED",207,207,1,0.990430622009569,3
10,1,"CISI-1","CISI",147,292,0.503424657534247,1,1
10,1,"CISI-1","CRAN",0,280,0,0,1
10,1,"CISI-1","MED",0,207,0,0,1
10,3,"CISI-2","CISI",85,292,0.291095890410959,1,2
10,3,"CISI-2","CRAN",0,280,0,0,2
10,3,"CISI-2","MED",0,207,0,0,2
10,5,"CISI-3","CISI",59,292,0.202054794520548,1,3
10,5,"CISI-3","CRAN",0,280,0,0,3
10,5,"CISI-3","MED",0,207,0,0,3
10,2,"CRAN-1","CISI",1,292,0.00342465753424658,0.0128205128205128,4
10,2,"CRAN-1","CRAN",72,280,0.257142857142857,0.923076923076923,4
10,2,"CRAN-1","MED",5,207,0.0241545893719807,0.0641025641025641,4
10,9,"CRAN-2","CISI",0,292,0,0,5
10,9,"CRAN-2","CRAN",60,280,0.214285714285714,1,5
10,9,"CRAN-2","MED",0,207,0,0,5
10,4,"CRAN-3","CISI",0,292,0,0,6
10,4,"CRAN-3","CRAN",56,280,0.2,1,6
10,4,"CRAN-3","MED",0,207,0,0,6
10,10,"CRAN-4","CISI",0,292,0,0,7
10,10,"CRAN-4","CRAN",55,280,0.196428571428571,1,7
10,10,"CRAN-4","MED",0,207,0,0,7
10,6,"CRAN-5","CISI",0,292,0,0,8
10,6,"CRAN-5","CRAN",37,280,0.132142857142857,1,8
10,6,"CRAN-5","MED",0,207,0,0,8
10,7,"MED-1","CISI",0,292,0,0,9
10,7,"MED-1","CRAN",0,280,0,0,9
10,7,"MED-1","MED",123,207,0.594202898550725,1,9
10,8,"MED-2","CISI",0,292,0,0,10
10,8,"MED-2","CRAN",0,280,0,0,10
10,8,"MED-2","MED",79,207,0.381642512077295,1,10
