"K","kappa_model","loglik","train_loglik_per_doc","test_loglik_per_doc","test_NLL_per_doc","train_ARI","test_ARI","train_NMI","test_NMI","train_cluster_size","test_cluster_size","kappa_min","kappa_max","converged","iter","best_start","elapsed_sec","labels_used_for_fit","test_used_for_selection","df","AIC","BIC","RIC","RICc","EBIC_g0.5","EBIC_g1","posterior_entropy","posterior_entropy_per_doc","normalized_entropy","ICL_BIC","train_min_cluster_n","train_min_cluster_prop","test_min_cluster_n","test_min_cluster_prop","mean_component_NPMI","min_component_NPMI","valid_bootstrap_reps","pairwise_stability_mean","pairwise_stability_sd","pairwise_stability_min","reference_ARI_mean","OOB_NLL_mean","OOB_NLL_sd","OOB_NLL_se","min_cluster_prop_mean","failure_count"
2,"free",15084912.629696,4848.89509151269,4850.13595995378,-4850.13595995378,0.579060137992858,0.59975138366382,0.690131148626843,0.722916224359598,"2013;1098","500;279",530.633444628105,820.928509037161,TRUE,4,19,2.35,FALSE,FALSE,4001,-30161823.259392,-30137646.4187049,-30109002.8379107,-30092772.6454974,-30107235.2079643,-30076823.9972236,3.28972450089134,0.00105744921275839,0.00152557673523846,-30137639.8392559,1098,0.352941176470588,279,0.358151476251605,0.385405713936603,0.36591600924052,10,0.561292982264101,0.405950866738511,0.18024044661154,0.670398685266173,-4846.61653489377,1.62546416531822,0.514016901739004,0.357891353262617,0
3,"free",15158999.595596,4872.7096096419,4872.90149374588,-4872.90149374588,0.970101641840524,0.992682684699668,0.944027607799027,0.986286946270588,"1113;1174;824","280;290;209",614.469630492338,813.321418932433,TRUE,3,6,3.18,FALSE,FALSE,6002,-30305995.1911919,-30269726.9088115,-30226757.9580676,-30202410.6411806,-30224106.2922494,-30178485.6756872,2.51978044975153,0.00080995835736147,0.000737255868804648,-30269721.8692506,824,0.264866602378656,209,0.268292682926829,0.379624106878974,0.36591600924052,10,0.992227599071369,0.00345315920398721,0.982595205575778,0.994518996166472,-4869.56526845615,1.32842034345631,0.420083397542509,0.264673738347798,0
4,"free",15208130.1344585,4888.50213258069,4884.63167323563,-4884.63167323563,0.823507878816228,0.860776465518598,0.854536568341888,0.898672448907136,"1106;424;760;821","280;86;205;208",616.072410562772,1156.19257184529,TRUE,6,18,5.75,FALSE,FALSE,8003,-30400254.2689171,-30351894.5448434,-30294600.2241496,-30262135.782789,-30291064.5224597,-30230234.500076,0.869508250090294,0.000279494776628188,0.000201612864097928,-30351892.8058269,424,0.136290581806493,86,0.110397946084724,0.393799410522288,0.363206148065174,10,0.987876070218353,0.00355058919277322,0.980124277775402,0.991746779081105,-4884.31494472746,2.08866209732147,0.66049294900001,0.137126325940212,0
5,"free",15239346.1459069,4898.53620890611,4892.59657191531,-4892.59657191531,0.692349291550429,0.729250612950994,0.783515960215925,0.82560591855406,"421;759;820;799;312","86;205;208;202;78",616.475998987296,1231.67625231548,TRUE,64,21,25.34,FALSE,FALSE,10004,-30458684.2918138,-30398233.1260469,-30326613.4354033,-30286031.869569,-30322193.6978416,-30246154.2696363,1.48395339392509,0.000477002055263611,0.000296378040792016,-30398230.1581401,312,0.100289296046287,78,0.10012836970475,0.398640214780962,0.272468425025257,10,0.805581900324628,0.0674813063294835,0.704219256047328,0.832160803545572,-4892.39183316831,2.60786328071755,0.824678779338652,0.0990035358405657,0
6,"free",15266855.218642,4907.37872666087,4901.27929997263,-4901.27929997263,0.626044668547733,0.66691275189846,0.740315747508828,0.776686577604381,"824;428;608;315;763;173","208;86;161;77;207;40",614.777811390734,1208.26711180071,TRUE,28,26,29.61,FALSE,FALSE,12005,-30509700.437284,-30437157.8298237,-30351212.7692304,-30302514.0789224,-30345908.9957969,-30254660.1617701,0.985714375695553,0.000316848079619271,0.000176836280237871,-30437155.8583949,173,0.0556091288974606,40,0.0513478818998716,0.439606205128196,0.363206148065174,10,0.831555030546386,0.111338316257219,0.609635411884188,0.894419944935379,-4900.35608828303,2.49909221939488,0.790282349609303,0.0676309868209579,0
7,"free",15290332.1379906,4914.92514882371,4908.09501658563,-4908.09501658563,0.552431135841821,0.579229805566349,0.699228523566685,0.7360597619048,"509;607;315;173;283;405;819","130;161;77;40;79;85;207",616.508044065324,1208.26898533683,TRUE,27,21,31.67,FALSE,FALSE,14006,-30552652.2759811,-30468018.2268276,-30367747.7962844,-30310931.9815029,-30361559.9869792,-30255101.7471309,1.82163624276297,0.000585546847561225,0.000300911554341547,-30468014.5835551,173,0.0556091288974606,40,0.0513478818998716,0.440034759141321,0.357089363828563,10,0.804810550041749,0.109125494617793,0.652015249663717,0.871319143074079,-4907.03409664059,1.90373518721859,0.602013925341781,0.0612664738026358,0
8,"free",15309401.0901832,4921.05467379723,4913.31252163285,-4913.31252163285,0.458429494115596,0.478164334465153,0.664255708596205,0.689067409932867,"285;315;405;173;322;508;494;609","78;77;85;40;81;132;125;161",700.6081181798,1208.28327847005,TRUE,21,20,35.45,FALSE,FALSE,16007,-30586788.1803664,-30490062.6895195,-30375466.8890266,-30310533.9497714,-30368395.0438496,-30246727.3981798,2.81796575846858,0.000905807058331269,0.000435601117018914,-30490057.053588,173,0.0556091288974606,40,0.0513478818998716,0.450803082455672,0.357089363828563,10,0.695563086984284,0.0840735210526607,0.554223097819533,0.764808096900537,-4910.68085481472,3.16453047120959,1.00071240140282,0.0589521054323369,0
9,"free",15326523.4971379,4926.55850116935,4917.44526172176,-4917.44526172176,0.400446660971165,0.413001930058077,0.631643486935839,0.657117048240378,"476;488;260;320;399;288;154;332;394","124;124;59;80;85;82;38;90;97",700.123081836248,1299.33478730102,TRUE,47,12,36.25,FALSE,FALSE,18008,-30617030.9942757,-30508214.0617356,-30379292.8912928,-30306242.827564,-30371337.0102441,-30234459.9587527,2.52247030903962,0.000810822985869374,0.000369021443794501,-30508209.016795,154,0.0495017679202829,38,0.0487804878048781,0.446640132292366,0.357089363828563,10,0.740495516068757,0.0665129535800902,0.597425398684965,0.795039862102867,-4916.6358810561,3.05909937139011,0.967372160238209,0.0496946319511411,0
10,"free",15340060.283421,4930.90976644841,4920.72839371794,-4920.72839371794,0.367770127271045,0.37468712487291,0.60822887590625,0.625623791521458,"451;339;398;224;297;147;471;334;248;202","118;81;85;54;85;37;120;82;61;56",669.4667986142,1293.35651638548,TRUE,27,22,34.82,FALSE,FALSE,20009,-30640102.566842,-30519194.1926086,-30375947.652216,-30294780.4640135,-30367107.7352956,-30215021.2779826,3.23246330860959,0.00103904317216638,0.000451250716131107,-30519187.727682,147,0.04725168756027,37,0.0474967907573813,0.430910449232827,0.331732399462128,10,0.699289715397066,0.0571529247741282,0.602529308763556,0.738201331556521,-4919.24813261698,3.13327298327021,0.990827915820453,0.0483124397299904,0
2,"shared",15079047.4954114,4847.00980244661,4847.34178032488,-4847.34178032488,0.595217989208759,0.609032943705757,0.678389595405092,0.710727076273373,"1933;1178","485;294",633.353089021439,633.353089021439,TRUE,2,20,1.38,FALSE,FALSE,4000,-30150094.9908228,-30125924.1928352,-30097287.7711464,-30081061.6352671,-30095520.582997,-30065116.9731589,3.37432302228771,0.00108464256582697,0.00156480845085565,-30125917.4441892,1178,0.378656380585021,294,0.377406931964057,0.339137316115656,0.273379213598627,10,0.988111248121491,0.00458367027695916,0.978183210867815,0.992533480977933,-4845.07491711888,1.27695691136623,0.403809231381105,0.379556412729026,0
3,"shared",15155732.1001988,4871.65930575339,4871.69184024922,-4871.69184024922,0.966775345232696,0.985582259626849,0.939684825198473,0.970987052755991,"816;1171;1124","205;292;282",731.753397654794,731.753397654794,TRUE,2,1,2.41,FALSE,FALSE,6000,-30299464.2003976,-30263208.0034162,-30220253.3708831,-30195914.1670641,-30217602.588659,-30171997.1739017,0.532030490132477,0.000171015908110729,0.000155665387939596,-30263206.9393552,816,0.262295081967213,205,0.263157894736842,0.383790630643424,0.378415580533869,10,0.995404078363753,0.00169453069129582,0.991080825609571,0.997385317011743,-4868.45691497294,1.29058096316867,0.408117534846688,0.261973641915783,0
4,"shared",15195791.8078001,4884.53610022504,4882.27579476448,-4882.27579476448,0.815307980444427,0.842271387367162,0.849040783687267,0.881593383690187,"1109;473;814;715","282;99;204;194",780.826624043949,780.826624043949,TRUE,2,6,3.58,FALSE,FALSE,8000,-30375583.6156002,-30327242.019625,-30269969.1762476,-30237516.9044888,-30266434.7999487,-30205627.5802724,1.28051295284134,0.000411608149418624,0.000296912517977866,-30327239.4585991,473,0.152041144326583,99,0.127086007702182,0.398604482144697,0.363206148065174,10,0.919277317935442,0.13203199712409,0.656181670355854,0.956164287232768,-4880.03020859672,2.60517813660407,0.823829662214212,0.151462552234008,0
