"K","kappa_model","valid_bootstrap_reps","pairwise_stability_mean","pairwise_stability_sd","pairwise_stability_min","reference_ARI_mean","OOB_NLL_mean","OOB_NLL_sd","OOB_NLL_se","min_cluster_prop_mean","failure_count"
2,"shared",20,0.989741476446259,0.00458455863308505,0.976906130924105,0.99298123097988,-4845.14145057706,1.47733374146123,0.330341867136142,0.378993892639023,0
2,"free",20,0.605722973314768,0.401952401918158,0.18024044661154,0.710818239326103,-4846.53008962407,1.52623493115536,0.341276505569809,0.357537769206043,0
3,"shared",20,0.995879693924948,0.00182876814844168,0.991080825609571,0.997566981744886,-4868.46348017712,1.58611379001149,0.354665825451552,0.262005785920926,0
3,"free",20,0.992413709873289,0.00285265232693496,0.982595205575778,0.994342724439393,-4869.55343894709,1.6082902957664,0.359624642888691,0.264754098360656,0
4,"shared",20,0.928215743058216,0.11658429314611,0.656181670355854,0.959343146386669,-4880.10398784526,2.73936484175396,0.612540600133481,0.147717775634844,0
4,"free",20,0.9885652736247,0.00358326252077782,0.979982246817576,0.991591307928757,-4884.54652167184,2.10662554848931,0.471055792955988,0.137045965927355,0
5,"shared",20,0.831444952832095,0.0838214320021734,0.691597421396643,0.886137845943386,-4887.61425744633,2.15784689568819,0.482509234379568,0.108437801350048,0
5,"free",20,0.812088614742715,0.0769599908439875,0.69181287067991,0.844056019420649,-4892.49024119965,2.45906769661737,0.549864253091027,0.0983285117325619,0
6,"shared",20,0.778249494850077,0.0970875481156451,0.554344114347186,0.797095326693713,-4894.27030215883,2.09153721141182,0.467681938218717,0.079154612664738,0
6,"free",20,0.796723629738509,0.114262105463911,0.548246421852119,0.867564427852228,-4900.08965519519,2.22559472913571,0.497658110471267,0.0769848923175828,0
7,"shared",20,0.746245883726326,0.0954698707969954,0.569310551652961,0.799362389476027,-4900.76832388811,2.61407504297182,0.584524949437068,0.071616843458695,0
7,"free",20,0.785152177695616,0.103171455699124,0.56352370917765,0.855966733011712,-4906.67419106816,2.6991541995814,0.603549227201805,0.0596271295403407,0
8,"shared",20,0.748047424270947,0.0855793344191071,0.551174915612357,0.815304857965378,-4906.25893446848,2.99507073864043,0.669718176902051,0.0653166184506589,0
8,"free",20,0.715413447491228,0.0907520754296466,0.491594725833621,0.787446314179203,-4910.87666791262,3.04199264283433,0.680210233643179,0.0576824172291868,0
9,"shared",20,0.731947321440869,0.0724418898454436,0.583580857587205,0.795319278667638,-4910.27558617604,2.96511208833914,0.663019219043267,0.0571681131468981,0
9,"free",20,0.711206254797904,0.0763966705489608,0.465063836912847,0.766826743867673,-4915.94321194184,2.85111297687002,0.637528242781315,0.050032144005143,0
10,"shared",20,0.722091684745802,0.0500053624520356,0.606649975331485,0.749703312730288,-4913.59049960528,2.86888664645517,0.641502556121516,0.0493731918997107,0
10,"free",20,0.685869067200186,0.0675445191424281,0.503229820155047,0.727583043065526,-4918.80195443652,2.77129679705018,0.619680802403163,0.0450176792028287,0
