"scenario","method","reps","valid_reps","zero_support_reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","objective","n_decrease","min_objective_diff","line_search_halving","lambda","weight_min","weight_max","common_selection_rate","specific_selection_rate","noise_selection_rate","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","kappa_true_min","kappa_true_max","kappa_true_ratio"
"strong_common_specific","M-L BIC",20,20,0,4,NA,0.0384844466449463,NA,NA,0.692541880903978,97289.0089797547,97288.5495992684,2,22,25.9,1,0.05,0.85525772316833,0.920485477981921,NA,NA,NA,NA,6.01328805183587e-05,2.63589938879149,0.109832803494052,58.6199534776087,47.55,-194249.554195994,-194030.57835365,97288.5495992684,1,-4.50694642495364e-08,25,0.0384844466449463,NA,NA,1,1,0.05,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-L BIC + refit",20,20,0,4,NA,0.0384844466449463,NA,NA,0.686701758080246,97353.0857164587,NA,9.95,22,25.9,1,0.05,0.85525772316833,0.920485477981921,NA,NA,NA,NA,0.000102715050277403,1.82615773684081,0.161617049261933,58.0298394764005,106.6,-193969.804720178,-193478.893578352,NA,NA,NA,NA,0.0384844466449463,NA,NA,1,1,0.05,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-GL BIC",20,20,0,4,NA,0.0488522878338353,NA,NA,0.675031971736935,97250.7879229804,97250.4425266684,2,22,23.95,1,0.025,0.921060758082497,0.958263696166101,NA,NA,NA,NA,0.000139312859861279,3.62157536787764,0.264107603964102,58.8341287671668,98.8,-193819.089624397,-193364.098810022,97250.4425266684,1,-1.32725108414888e-07,25,0.0488522878338353,NA,NA,1,1,0.025,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-GL BIC + refit",20,20,0,4,NA,0.0488522878338353,NA,NA,0.687180765385026,97345.3732764855,NA,13.25,22,23.95,1,0.025,0.921060758082497,0.958263696166101,NA,NA,NA,NA,8.74375301296846e-05,1.85538570055032,0.146014652554502,58.0267226092411,98.8,-194008.260331408,-193553.269517032,NA,NA,NA,NA,0.0488522878338353,NA,NA,1,1,0.025,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-AGL BIC",20,20,0,4,NA,0.105937272228418,NA,NA,0.682674710259716,97314.412824913,97314.3322240329,2,22,22.55,1,0.00705128205128205,0.976811594202899,0.987971014492754,NA,NA,NA,NA,8.48662776159103e-05,3.55163357712276,0.152503484489366,58.8320811195064,93.2,-193985.022857825,-193555.820996491,97314.3322240329,1,-2.20432411879301e-08,25,0.105937272228418,0.0483277165926646,4.45330086370478,1,1,0.00705128205128205,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-AGL BIC + refit",20,20,0,4,NA,0.105937272228418,NA,NA,0.688965559853486,97338.5691182268,NA,13.1,22,22.55,1,0.00705128205128205,0.976811594202899,0.987971014492754,NA,NA,NA,NA,7.24015900065117e-05,1.77016738039102,0.131414260700156,57.9577334563431,93.2,-194033.335444452,-193604.133583118,NA,NA,NA,NA,0.105937272228418,0.0483277165926646,4.45330086370478,1,1,0.00705128205128205,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-CGL BIC",20,20,0,4,NA,0.0302201409457889,NA,NA,0.456937626771432,97170.6619993526,97170.5924257499,6.55,22,38.75,0.997727272727273,0.215384615384615,0.643126232583943,0.760976953711079,NA,NA,NA,NA,0.000447173154764777,191.634896917867,1.34493874572195,67.2471974359479,158,-193249.898664626,-192522.28177524,97170.5924257499,0.85,0.000141671010351274,22.95,0.0302201409457889,NA,NA,1,0.996875,0.215384615384615,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","M-CGL BIC + refit",20,20,0,4,NA,0.0302201409457889,NA,NA,0.657343080863523,97375.4635130898,NA,37.95,22,38.75,0.997727272727273,0.215384615384615,0.643126232583943,0.760976953711079,NA,NA,NA,NA,0.000225486782094663,109.671325772815,1.35927141078531,59.8612328160929,158,-193659.5016921,-192931.884802714,NA,NA,NA,NA,0.0302201409457889,NA,NA,1,0.996875,0.215384615384615,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","E-L BIC",20,20,0,4,NA,NA,NA,1.43538831268671,0.651469129675281,97249.7232124043,96357.7789890157,2,22,30.85,1,0.113461538461538,0.721952649185783,0.83612208807025,NA,NA,NA,NA,6.23813256502895e-05,36.5468066961972,0.17152219543034,51.6260686133484,54.4,-194123.664537632,-193873.143279514,96357.7789890157,1,-5.7539000408724e-08,25,1.43538831268671,NA,NA,1,1,0.113461538461538,10.5,1000,100,4,6,4,0.5,40,30,90,3
"strong_common_specific","E-L BIC + refit",20,20,0,4,NA,NA,NA,1.43538831268671,0.680409116525106,97375.1489955415,NA,18.7,22,30.85,1,0.113461538461538,0.721952649185783,0.83612208807025,NA,NA,NA,NA,0.00012765598917746,1.92314985778373,0.225606486039558,57.9734035554171,126.4,-193877.15772382,-193295.064212311,NA,NA,NA,NA,1.43538831268671,NA,NA,1,1,0.113461538461538,10.5,1000,100,4,6,4,0.5,40,30,90,3
