"lambda_eta","iter","loglik","penalty","objective","objective_diff","decreased"
0,1,29307.4301491005,435.840194233369,29307.4301491005,NA,FALSE
0,2,29307.4314751459,435.847701042418,29307.4314751459,0.00132604542159243,FALSE
0.4196900811,1,29303.1008202857,393.885305686442,29137.7910643981,NA,FALSE
0.4196900811,2,29302.2312788704,389.464066398718,29138.7770732579,0.986008859854337,FALSE
0.4196900811,3,29301.9547332951,388.175289865387,29139.0414144105,0.264341152531415,FALSE
0.4196900811,4,29301.8212699148,387.587660188044,29139.1545733771,0.113158966672927,FALSE
0.4196900811,5,29301.7443452137,387.26231181712,29139.2141941602,0.0596207830167259,FALSE
0.4196900811,6,29301.6954898818,387.062605418579,29139.2491536229,0.0349594627550687,FALSE
0.4196900811,7,29301.662374099,386.931629352778,29139.2710071958,0.0218535728999996,FALSE
0.4196900811,8,29301.6388332772,386.841593668924,29139.2852534574,0.0142462616131525,FALSE
0.4196900811,9,29301.6215175484,386.777602938098,29139.2947940036,0.00954054620160605,FALSE
0.4196900811,10,29301.6089107844,386.732792395425,29139.3009937799,0.00619977627866319,FALSE
0.4196900811,11,29301.5992408956,386.699655642718,29139.3052310576,0.00423727768793469,FALSE
0.4196900811,12,29301.591700837,386.674720631814,29139.3081559757,0.00292491812433582,FALSE
0.4196900811,13,29301.5857515787,386.65571177697,29139.3101845452,0.00202856948089902,FALSE
2.5457109593,1,29179.1177410571,201.224730920687,28666.8577382701,NA,FALSE
2.5457109593,2,29145.9261778904,167.205314270872,28720.2697768979,53.4120386277391,FALSE
2.5457109593,3,29129.9833058202,152.528705774066,28741.6893079233,21.4195310254654,FALSE
2.5457109593,4,29122.936298402,146.457352847922,28750.098210187,8.40890226363626,FALSE
2.5457109593,5,29118.93777768,143.235077712808,28754.3026705903,4.20446040333627,FALSE
2.5457109593,6,29116.5450956895,141.418094246436,28756.535503323,2.23283273270863,FALSE
2.5457109593,7,29114.9452800284,140.308594179254,28757.7601541423,1.22465081930568,FALSE
2.5457109593,8,29113.8405997888,139.620514282452,28758.4071264369,0.646972294529405,FALSE
2.5457109593,9,29113.0774319331,139.201731195526,28758.7100592751,0.302932838214474,FALSE
2.5457109593,10,29112.4996367164,138.922464628863,28758.8431960178,0.133136742697388,FALSE
2.5457109593,11,29112.0454091499,138.727749128159,28758.8846578353,0.0414618175163923,FALSE
2.5457109593,12,29111.6820151433,138.589448320677,28758.87333771,-0.0113201252897852,TRUE
2.5457109593,13,29111.3808458136,138.485116552608,28758.8377669056,-0.0355708043498453,TRUE
2.5457109593,14,29111.1264606132,138.403113374026,28758.7921380957,-0.0456288099339872,TRUE
2.5457109593,15,29110.9086920217,138.336435095232,28758.7441131293,-0.0480249664578878,TRUE
2.5457109593,16,29110.7203294485,138.280624517002,28758.6978281568,-0.046284972497233,TRUE
2.5457109593,17,29110.5561019404,138.232797114031,28758.6553553925,-0.0424727642639482,TRUE
2.5457109593,18,29110.4120471088,138.191056747447,28758.6175594695,-0.0377959229554108,TRUE
2.5457109593,19,29110.2851064888,138.154134427031,28758.5846124053,-0.0329470642645902,TRUE
2.5457109593,20,29110.1728604029,138.121161345291,28758.5563062549,-0.028306150368735,TRUE
2.5457109593,21,29110.0733512719,138.09152516101,28758.5322422831,-0.024063971828582,TRUE
2.5457109593,22,29109.9849639865,138.064778716859,28758.5119437137,-0.020298569368606,TRUE
2.5457109593,23,29109.9063435548,138.040582044068,28758.494921017,-0.0170226966729388,TRUE
2.5457109593,24,29109.8363373706,138.018665569492,28758.4807078424,-0.0142131746142695,TRUE
2.5457109593,25,29109.7739539265,137.998806833631,28758.4688789998,-0.0118288426310755,TRUE
2.5457109593,26,29109.7183326416,137.980815804127,28758.4590576758,-0.00982132394710789,TRUE
2.5457109593,27,29109.6687213094,137.964525638455,28758.4509163969,-0.00814127890771488,TRUE
2.5457109593,28,29109.6244588479,137.949786882691,28758.4441745475,-0.00674184940362466,TRUE
2.5457109593,29,29109.5849618053,137.936463820643,28758.43859417,-0.00558037757218699,TRUE
2.5457109593,30,29109.5497135761,137.924432155109,28758.4339750837,-0.00461908629586105,TRUE
2.5457109593,31,29109.5182556146,137.913577503334,28758.4301499281,-0.00382515553428675,TRUE
2.5457109593,32,29109.490180149,137.903794381448,28758.4269794631,-0.00317046499549178,TRUE
2.5457109593,33,29109.4651240512,137.894985475953,28758.4243482925,-0.00263117062058882,TRUE
3.9433010378,1,29059.7217964509,105.240152742079,28644.7281929248,NA,FALSE
3.9433010378,2,29034.9265617283,89.0355276125142,28683.8326732928,39.1044803679979,FALSE
3.9433010378,3,29019.1803059235,78.2325463842802,28710.6858245767,26.853151283849,FALSE
3.9433010378,4,29006.2313361653,69.2277159417309,28733.2456120477,22.5597874710911,FALSE
3.9433010378,5,28993.0421786864,60.2885487048128,28755.3062820113,22.0606699635355,FALSE
3.9433010378,6,28978.3599050317,50.4997135637414,28779.2243321272,23.9180501158917,FALSE
3.9433010378,7,28961.9577639433,39.8515212028852,28804.811219026,25.5868868988473,FALSE
3.9433010378,8,28947.085801091,30.7698477761293,28825.7510284224,20.9398093963937,FALSE
