"method","beta","lambda_eta","lambda_mu","lambda_kappa","ARI","loglik","converged","iter","nnz_fraction","selected_q","TPR","FPR","Precision","F1","mu_contrast_norm","eta_contrast_norm","mu_topq_recall","eta_topq_recall","kappa_low_hat","kappa_high_hat","kappa_ratio_hat","MSE_mu","MSE_kappa","MSE_eta_contrast","df","BIC","EBIC","scenario","rep","n","d","q","mu_cos","kappa_low","kappa_high","true_eta_contrast_norm"
"Rossi path BIC",421.003103730368,NA,NA,NA,1,108672.389365998,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.216343623204788,180.569287160542,1,1,20.6174057345793,200.64974376287,9.73205583408306,0.000222211082057173,0.401678399240122,0.372437439059578,26,-217165.177094742,-217045.442669906,"concentration_dominant",1,1000,100,10,1,20,200,180
"Rossi path BIC + refit",421.003103730368,NA,NA,NA,1,108699.48542197,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.110893422245787,180.034832723564,0.6,1,20.8283245413211,200.72031950529,9.63689225732403,5.39070953882459e-05,0.602490867727799,0.284079912170066,31,-217184.830430292,-217042.070154527,"concentration_dominant",1,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC",NA,NA,421.003103730368,0,1,108672.389365998,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.216343623204788,180.569287160542,1,1,20.6174057345793,200.64974376287,9.73205583408306,0.000222211082057173,0.401678399240122,0.372437439059578,26,-217165.177094742,-217045.442669906,"concentration_dominant",1,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC + refit",NA,NA,421.003103730368,0,1,108699.48542197,TRUE,2,0.15,15,1,0.0555555555555556,0.666666666666667,0.8,0.110893422245787,180.034832723564,0.6,1,20.8283245413211,200.72031950529,9.63689225732403,5.39070953882459e-05,0.602490867727799,0.284079912170066,31,-217184.830430292,-217042.070154527,"concentration_dominant",1,1000,100,10,1,20,200,180
"Eta path BIC",NA,1.65186143338515,NA,NA,1,108709.474123914,TRUE,2,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.167886654118359,174.975881580689,0.3,1,23.7617325436224,198.357579689724,8.34777427637373,0.000170199928590266,8.42408810267776,0.411604814751485,113,-216638.371901302,-216117.987670286,"concentration_dominant",1,1000,100,10,1,20,200,180
"Eta path BIC + refit",NA,1.65186143338515,NA,NA,1,108693.100187445,TRUE,2,0.12,12,1,0.0222222222222222,0.833333333333333,0.909090909090909,0.104646393081835,179.980197531272,0.8,1,20.8121077232372,200.665208247505,9.64175329649373,4.60844921518503e-05,0.551010483345176,0.233502168832817,25,-217213.506492916,-217098.377238266,"concentration_dominant",1,1000,100,10,1,20,200,180
"Rossi path BIC",357.933778785142,NA,NA,NA,1,109835.975059008,TRUE,2,0.28,28,1,0.2,0.357142857142857,0.526315789473684,0.174589235019281,183.499368112466,0.9,1,19.7711666488297,202.936986447952,10.2642899153331,0.000162448950278344,4.339127049032,0.286712101509708,39,-219402.547662135,-219222.946024881,"concentration_dominant",2,1000,100,10,1,20,200,180
"Rossi path BIC + refit",357.933778785142,NA,NA,NA,1,109867.368381337,TRUE,2,0.28,28,1,0.2,0.357142857142857,0.526315789473684,0.121786954307315,183.313449903936,0.4,1,19.9515284056317,203.100972321168,10.1797199789385,6.55657975012307e-05,4.8091894160541,0.668743496718912,57,-219340.994711772,-219078.50001117,"concentration_dominant",2,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC",NA,NA,357.933778785142,0,1,109835.975059008,TRUE,2,0.28,28,1,0.2,0.357142857142857,0.526315789473684,0.174589235019281,183.499368112466,0.9,1,19.7711666488297,202.936986447952,10.2642899153331,0.000162448950278344,4.339127049032,0.286712101509708,39,-219402.547662135,-219222.946024881,"concentration_dominant",2,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC + refit",NA,NA,357.933778785142,0,1,109867.368381337,TRUE,2,0.28,28,1,0.2,0.357142857142857,0.526315789473684,0.121786954307315,183.313449903936,0.4,1,19.9515284056317,203.100972321168,10.1797199789385,6.55657975012307e-05,4.8091894160541,0.668743496718912,57,-219340.994711772,-219078.50001117,"concentration_dominant",2,1000,100,10,1,20,200,180
"Eta path BIC",NA,2.07529178377052,NA,NA,1,109826.992673563,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.159459123715258,176.708635893977,0.2,1,23.525514854639,199.895486411443,8.49696542866629,0.000164718427270898,6.22008904023669,0.156485388676048,112,-218880.31675588,-218364.537695049,"concentration_dominant",2,1000,100,10,1,20,200,180
"Eta path BIC + refit",NA,2.07529178377052,NA,NA,1,109830.194924883,TRUE,2,0.11,11,1,0.0111111111111111,0.909090909090909,0.952380952380952,0.0804382867487533,182.929687420482,0.9,1,19.8915327439359,202.749881498221,10.192773181847,3.35742171145006e-05,3.78680669994887,0.210181233286205,23,-219501.511478349,-219395.592564072,"concentration_dominant",2,1000,100,10,1,20,200,180
"Rossi path BIC",391.711560741795,NA,NA,NA,1,112825.802293961,TRUE,2,0.25,25,1,0.166666666666667,0.4,0.571428571428572,0.158002569612016,180.768861647207,0.8,1,20.5984581086605,201.081083537306,9.76194832043094,0.000119793647371867,0.763446861227493,0.258667280031415,36,-225402.925397879,-225237.139271183,"concentration_dominant",3,1000,100,10,1,20,200,180
"Rossi path BIC + refit",391.711560741795,NA,NA,NA,1,112854.578273768,TRUE,2,0.25,25,1,0.166666666666667,0.4,0.571428571428572,0.0979098970178713,180.530004947135,0.5,1,20.7884531632005,201.207368486291,9.67880423361494,4.89531479614366e-05,1.03969852612471,0.401182969097616,51,-225356.861028308,-225121.997348823,"concentration_dominant",3,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC",NA,NA,391.711560741795,0,1,112825.802293961,TRUE,2,0.25,25,1,0.166666666666667,0.4,0.571428571428572,0.158002569612016,180.768861647207,0.8,1,20.5984581086605,201.081083537306,9.76194832043094,0.000119793647371867,0.763446861227493,0.258667280031415,36,-225402.925397879,-225237.139271183,"concentration_dominant",3,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC + refit",NA,NA,391.711560741795,0,1,112854.578273768,TRUE,2,0.25,25,1,0.166666666666667,0.4,0.571428571428572,0.0979098970178713,180.530004947135,0.5,1,20.7884531632005,201.207368486291,9.67880423361494,4.89531479614366e-05,1.03969852612471,0.401182969097616,51,-225356.861028308,-225121.997348823,"concentration_dominant",3,1000,100,10,1,20,200,180
"Eta path BIC",NA,1.58708784085196,NA,NA,1,112858.785591815,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.170307198756138,175.539802216671,0.1,1,23.6765871658478,198.827042354127,8.39762255266775,0.000184776372628201,7.44656141354392,0.300971058026304,114,-224930.087081827,-224405.097680624,"concentration_dominant",3,1000,100,10,1,20,200,180
"Eta path BIC + refit",NA,1.58708784085196,NA,NA,1,112827.758010957,TRUE,2,0.13,13,1,0.0333333333333333,0.769230769230769,0.869565217391304,0.0878222669350569,180.320347524365,0.7,1,20.7487906809646,200.979933558298,9.68634445489305,2.86472182543023e-05,0.760478631288847,0.255400055423595,27,-225469.006629381,-225344.667034359,"concentration_dominant",3,1000,100,10,1,20,200,180
"Rossi path BIC",419.460960584986,NA,NA,NA,1,111157.227462062,TRUE,2,0.24,24,1,0.155555555555556,0.416666666666667,0.588235294117647,0.176266590967885,179.572824277227,0.9,1,19.8443792743369,199.075115613115,10.0318136869397,0.000152217873408524,0.439814469679744,0.197737043810628,35,-222072.683489359,-221911.50253285,"concentration_dominant",4,1000,100,10,1,20,200,180
"Rossi path BIC + refit",419.460960584986,NA,NA,NA,1,111199.183646381,TRUE,2,0.24,24,1,0.155555555555556,0.416666666666667,0.588235294117647,0.122166172822169,179.23862589869,0.2,1,20.1569308140739,199.228286566888,9.88386021684332,8.20092754950806e-05,0.310084451625365,0.322604266367812,49,-222059.887284092,-221834.233944979,"concentration_dominant",4,1000,100,10,1,20,200,180
"Separate 2D path/grid BIC",NA,NA,419.460960584986,0,1,111157.227462062,TRUE,2,0.24,24,1,0.155555555555556,0.416666666666667,0.588235294117647,0.176266590967885,179.572824277227,0.9,1,19.8443792743369,199.075115613115,10.0318136869397,0.000152217873408524,0.439814469679744,0.197737043810628,35,-222072.683489359,-221911.50253285,"concentration_dominant",4,1000,100,10,1,20,200,180
