"scenario","method","reps","ARI_mean","ARI_se","selected_q_mean","selected_q_se","TPR_mean","TPR_se","FPR_mean","FPR_se","Precision_mean","Precision_se","F1_mean","F1_se","eta_contrast_norm_mean","eta_contrast_norm_se","kappa_ratio_hat_mean","kappa_ratio_hat_se","MSE_mu_mean","MSE_mu_se","MSE_kappa_mean","MSE_kappa_se","MSE_eta_contrast_mean","MSE_eta_contrast_se","BIC_mean","BIC_se","EBIC_mean","EBIC_se","beta_mean","beta_se","lambda_eta_mean","lambda_eta_se","lambda_mu_mean","lambda_mu_se","lambda_kappa_mean","lambda_kappa_se"
"concentration_dominant","Rossi path BIC",20,1,0,23.3,0.926510147074266,1,0,0.147777777777778,0.0102945571897141,0.442758743449533,0.0184658575771498,0.609592143103948,0.0172192043359041,181.179369748547,0.308470739801609,10.0616397372745,0.04207717414827,0.000176414473561392,9.64396553861702e-06,1.27628988563463,0.293188322382953,0.245340485235734,0.0175929446086025,-221091.11006614,467.07315446005,-220933.15272876,464.555354375058,394.608449561021,5.66027391887504,NA,NA,NA,NA,NA,NA
"concentration_dominant","Rossi path BIC + refit",20,1,0,23.3,0.926510147074266,1,0,0.147777777777778,0.0102945571897141,0.442758743449533,0.0184658575771498,0.609592143103948,0.0172192043359041,180.821060140968,0.317540533358693,9.95057780014139,0.0407065541382548,6.08297013098166e-05,4.761420491812e-06,1.40964801448668,0.330203581717248,0.377971848403446,0.0286087589669634,-221065.926427117,464.342638356683,-220846.720326264,459.390827898105,394.608449561021,5.66027391887504,NA,NA,NA,NA,NA,NA
"concentration_dominant","Separate 2D path/grid BIC",20,1,0,23.3,0.926510147074266,1,0,0.147777777777778,0.0102945571897141,0.442758743449533,0.0184658575771498,0.609592143103948,0.0172192043359041,181.179369748547,0.308470739801609,10.0616397372745,0.04207717414827,0.000176414473561392,9.64396553861702e-06,1.27628988563463,0.293188322382953,0.245340485235734,0.0175929446086025,-221091.11006614,467.073154460051,-220933.15272876,464.555354375058,NA,NA,NA,NA,394.608449561021,5.66027391887504,0,0
"concentration_dominant","Separate 2D path/grid BIC + refit",20,1,0,23.3,0.926510147074266,1,0,0.147777777777778,0.0102945571897141,0.442758743449533,0.0184658575771498,0.609592143103948,0.0172192043359041,180.821060140968,0.317540533358693,9.95057780014139,0.0407065541382548,6.08297013098166e-05,4.761420491812e-06,1.40964801448668,0.330203581717248,0.377971848403446,0.0286087589669634,-221065.926427117,464.342638356683,-220846.720326264,459.390827898105,NA,NA,NA,NA,394.608449561021,5.66027391887504,0,0
"concentration_dominant","Eta path BIC",20,1,0,13.2,0.694338003538546,1,0,0.0355555555555556,0.00771486670598385,0.79201305230717,0.0355848159909592,0.875178623711232,0.0233295275337544,175.54213745177,0.316067673414895,8.55901572117759,0.0479333872606055,0.000179769446521302,4.99199418025434e-06,7.41495306245651,0.655545791422164,0.291665822348489,0.0290303170532706,-220593.266854357,470.602389622252,-220067.356419117,470.815106565788,NA,NA,1.68748937145837,0.0601952534918574,NA,NA,NA,NA
"concentration_dominant","Eta path BIC + refit",20,1,0,13.2,0.694338003538546,1,0,0.0355555555555556,0.00771486670598385,0.79201305230717,0.0355848159909592,0.875178623711232,0.0233295275337544,180.630346912497,0.304925221057672,9.95976302975585,0.0411550744619137,4.09285566414582e-05,5.04241012230266e-06,1.18451124959203,0.272601579754126,0.21585411718962,0.0243455031561841,-221161.031008592,470.363976849819,-221034.849345496,470.889537511398,NA,NA,1.68748937145837,0.0601952534918574,NA,NA,NA,NA
"weak_concentration","Rossi path BIC",20,0.345453698477368,0.00919612328076793,57.65,5.41259496087841,1,0,0.529444444444444,0.0601399440097601,0.238391200570585,0.0458966066792353,0.354584308150307,0.0439422478256077,20.77646559972,0.182828126249657,1.98153503882542,0.0194706030990969,0.000139659731652855,1.44769214289453e-05,2.11688799799472,0.475724928234915,0.30689619940392,0.0350179113239009,-180726.246014577,72.9589007053795,-180357.14162417,104.850434873288,61.4721244952262,8.62274049474511,NA,NA,NA,NA,NA,NA
"weak_concentration","Rossi path BIC + refit",20,0.321539418413442,0.00797685957651531,57.65,5.41259496087841,1,0,0.529444444444444,0.0601399440097601,0.238391200570585,0.0458966066792353,0.354584308150307,0.0439422478256077,21.6218567423978,0.18283582599772,1.93766925516051,0.0173214519956878,0.000364298603197295,3.29483182018106e-05,1.98151125655176,0.486058177070552,0.788083588759941,0.0756631746012652,-180529.444814459,84.8620050219866,-179993.863521829,128.530382180284,61.4721244952262,8.62274049474511,NA,NA,NA,NA,NA,NA
"weak_concentration","Separate 2D path/grid BIC",20,0.332118310634234,0.0148372907385191,57,4.99894725759439,1,0,0.522222222222222,0.0555438584177155,0.239422409242172,0.0466907830073532,0.354987342423029,0.0444381075073837,20.9061457400147,0.198401388389492,2.02651382481856,0.0416482043674287,0.000161853223362922,2.98624764951224e-05,4.62257107158359,2.36894570334392,0.298886381306598,0.0306315296876334,-180742.937440117,62.2613805566203,-180386.497267722,86.7106694780522,NA,NA,NA,NA,61.3829390188246,8.52236593801752,0.169037503162113,0.169037503162113
"weak_concentration","Separate 2D path/grid BIC + refit",20,0.314775251229139,0.010091553458888,57,4.99894725759439,1,0,0.522222222222222,0.0555438584177155,0.239422409242172,0.0466907830073532,0.354987342423029,0.0444381075073837,21.656860654865,0.172639875196395,1.94338046075926,0.0175479754363822,0.000405395435516772,5.14214865640808e-05,2.44391114579565,0.654139322308149,0.795485791308118,0.0816727745365469,-180539.345546688,74.1171111075139,-180009.7509753,112.629071706413,NA,NA,NA,NA,61.3829390188246,8.52236593801752,0.169037503162113,0.169037503162113
