"setting","criterion","reps","selected_q_mean","selected_q_median","selected_q_zero_rate","selected_q_near22_rate","selected_q_dense_rate","ARI","TPR","FPR","Precision","F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean"
"d=200","BIC_current","50","120.06","118","0","0.02","0.2","0.458695123705283","0.989090909090909","0.552247191011236","0.207768267538458","0.330883176021929","0.000433524444395768","62.0413762482842","0.904659048852448","60.3502729773764"
"d=200","EBIC_gamma_0.5","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=200","EBIC_gamma_1.0","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=200","logd_slope_q","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=200","q_slope_5","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=200","q_slope_8","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=200","RIC_like","50","119.98","118","0","0.02","0.2","0.459046697623745","0.988181818181818","0.551910112359551","0.208598529361719","0.330769391625865","0.000432705724023437","62.2476489402965","0.903582378442857","60.35752715597"
"d=400","BIC_current","20","262.95","253","0","0","0.3","0.205685252658185","0.920454545454546","0.642063492063492","0.0798106993066454","0.146339197457657","0.00070095243857418","216.99088742041","1.94246585249564","63.8393341355093"
"d=400","EBIC_gamma_0.5","20","262.95","253","0","0","0.3","0.205685252658185","0.920454545454546","0.642063492063492","0.0798106993066454","0.146339197457657","0.00070095243857418","216.99088742041","1.94246585249564","63.8393341355093"
"d=400","EBIC_gamma_1.0","20","262.95","253","0","0","0.3","0.205685252658185","0.920454545454546","0.642063492063492","0.0798106993066454","0.146339197457657","0.00070095243857418","216.99088742041","1.94246585249564","63.8393341355093"
"d=400","logd_slope_q","20","262.9","253","0","0","0.3","0.205815086137154","0.920454545454546","0.641931216931217","0.079822173964045","0.1463591404776","0.000700699627549136","216.873150808628","1.94036018236013","63.8403094852838"
"d=400","q_slope_5","20","262.95","253","0","0","0.3","0.205685252658185","0.920454545454546","0.642063492063492","0.0798106993066454","0.146339197457657","0.00070095243857418","216.99088742041","1.94246585249564","63.8393341355093"
"d=400","q_slope_8","20","262.9","253","0","0","0.3","0.205815086137154","0.920454545454546","0.641931216931217","0.079822173964045","0.1463591404776","0.000700699627549136","216.873150808628","1.94036018236013","63.8403094852838"
"d=400","RIC_like","20","262.9","253","0","0","0.3","0.205815086137154","0.920454545454546","0.641931216931217","0.079822173964045","0.1463591404776","0.000700699627549136","216.873150808628","1.94036018236013","63.8403094852838"
