"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","scenario","rep","n","d","K_true","q_active_common","mu_pairwise_cos_target","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Rossi path BIC",4,34.5386658944317,NA,NA,NA,0.521461812273403,97720.6146825403,97234.8400691621,FALSE,100,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,1,0.541666666666667,0.170212765957447,0.290909090909091,0.000234593423851502,4.70847058274031,0.341169882134978,58.0010085756546,238,-193797.183608683,-192701.153104418,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,34.5386658944317,NA,NA,NA,0.4634227071182,97794.8164102942,NA,TRUE,51,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,NA,NA,NA,NA,0.00142870448229532,6.56457818874497,1.16537556536628,57.7544347586903,399,-192833.438464274,-190995.975560065,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,34.751681088066,0,NA,0.526695801420374,97721.4184242928,97231.5015143898,FALSE,100,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,1,0.536111111111111,0.171673819742489,0.293040293040293,0.000210069709556198,4.63319989994448,0.330428915295661,58.1606690618919,236,-193812.606602746,-192725.786438853,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,34.751681088066,0,NA,0.4634227071182,97794.8128832569,NA,TRUE,55,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,NA,NA,NA,NA,0.00142757084213328,6.54750683371025,1.16452634404318,57.7556296248724,399,-192833.4314102,-190995.968505991,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.4127159321244,0.487169042191895,97589.5607260539,97356.2165951851,TRUE,26,10,30,1,0.222222222222222,0.333333333333333,0.5,NA,NA,NA,NA,0.000223417731611524,145.170803985629,1.04950638057421,65.4611658967911,193,-193845.924683264,-192957.126837368,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.4127159321244,0.482062041552394,97645.5632202955,NA,TRUE,70,10,30,1,0.222222222222222,0.333333333333333,0.5,NA,NA,NA,NA,0.000201242572517278,51.3352520191275,0.730952654164931,62.6157172364123,123,-194441.472541276,-193875.0366084,"controlled_concdom_common_support",1,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC",4,30.4598317899535,NA,NA,NA,0.481217011516878,97961.2921868572,97479.4366489409,TRUE,2,10,97,1,0.966666666666667,0.103092783505155,0.186915887850467,1,0.638888888888889,0.148148148148148,0.258064516129032,0.000844804392891972,40.1749488562151,1.12766825113487,60.4937401538614,273,-194036.767182552,-192779.555721778,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,30.4598317899535,NA,NA,NA,0.482151495027427,98013.6581177552,NA,TRUE,46,10,97,1,0.966666666666667,0.103092783505155,0.186915887850467,NA,NA,NA,NA,0.00179276850966424,75.3600638131626,2.36668188599803,61.8614781961366,391,-193326.383921428,-191525.762378707,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,40.6859740609712,0,NA,0.547359243025592,97918.5671400387,97344.6246119562,TRUE,2,10,96,1,0.955555555555556,0.104166666666667,0.188679245283019,1,0.513888888888889,0.177777777777778,0.30188679245283,0.000128907166864812,20.8840723717498,0.35537415854457,61.6346696364205,228,-194262.16607647,-193212.187274064,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,40.6859740609712,0,NA,0.478654813334636,97999.4016713344,NA,TRUE,62,10,96,1,0.955555555555556,0.104166666666667,0.188679245283019,NA,NA,NA,NA,0.000707537632092947,20.4356257533552,1.15688794597102,61.3141313107259,387,-193325.502049703,-191543.301187725,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.35800543731882,0.484029224562343,97837.0136733253,97553.3496705967,TRUE,4,10,47,1,0.411111111111111,0.212765957446809,0.350877192982456,NA,NA,NA,NA,0.000380130635548111,150.081241696042,1.11047103139923,66.895858746889,244,-193988.535058579,-192864.873533198,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.35800543731882,0.493096630085957,97903.8657729625,NA,TRUE,15,10,47,1,0.411111111111111,0.212765957446809,0.350877192982456,NA,NA,NA,NA,0.000628853459841288,160.884283815634,2.03543120837918,67.1442008676541,191,-194488.350287639,-193608.762782116,"controlled_concdom_common_support",2,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC",4,43.0754710371824,NA,NA,NA,0.577905016298531,97924.7112021457,97324.0567214062,TRUE,2,10,96,1,0.955555555555556,0.104166666666667,0.188679245283019,1,0.477777777777778,0.188679245283019,0.317460317460317,8.78484218478333e-05,6.78622038099043,0.233643874140498,59.323313913385,215,-194364.25501931,-193374.143429323,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,43.0754710371824,NA,NA,NA,0.493524623000343,98003.1174138604,NA,TRUE,46,10,96,1,0.955555555555556,0.104166666666667,0.188679245283019,NA,NA,NA,NA,0.000503752180191151,13.4741335897458,0.871266554266383,60.5868137221421,387,-193332.933534755,-191550.732672777,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,54.1846671338693,0,NA,0.564409673107769,97893.2446415119,97173.4435991669,TRUE,9,10,90,1,0.888888888888889,0.111111111111111,0.2,1,0.341666666666667,0.245398773006135,0.394088669950739,7.23247628482902e-05,4.3763024877466,0.181837155667922,58.0748351891924,166,-194639.801906713,-193875.343655839,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,54.1846671338693,0,NA,0.498637637314315,97999.0281281642,NA,TRUE,49,10,90,1,0.888888888888889,0.111111111111111,0.2,NA,NA,NA,NA,0.000562932989415394,5.78480261912662,0.835804138366547,59.5609651914182,363,-193490.541090058,-191818.864312544,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.44462176864875,0.514918854154929,97807.9468070986,97573.4115117623,TRUE,38,10,20,1,0.111111111111111,0.5,0.666666666666667,NA,NA,NA,NA,0.000133449481802492,55.2590333029888,0.396228993939403,61.9928132578057,163,-194489.929503723,-193739.286763407,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.44462176864875,0.563028115894962,97846.8878301768,NA,TRUE,42,10,20,1,0.111111111111111,0.5,0.666666666666667,NA,NA,NA,NA,9.95404658707114e-05,5.97240829475865,0.216835673989153,59.0146257314944,83,-195120.431972198,-194738.202846761,"controlled_concdom_common_support",3,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC",4,28.1531618235301,NA,NA,NA,0.51281167716787,97939.996472989,97474.621893574,TRUE,2,10,100,1,1,0.1,0.181818181818182,0.975,0.675,0.138297872340426,0.242236024844721,0.0013846314367288,110.915426011259,2.24232173630108,58.8756369104252,285,-193911.282691468,-192598.809188462,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,28.1531618235301,NA,NA,NA,0.511844633635782,97989.8834223005,NA,TRUE,53,10,100,1,1,0.1,0.181818181818182,NA,NA,NA,NA,0.00205554907264985,132.897354147999,3.14009672513867,59.5196621385855,403,-193195.941467171,-191340.057882218,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,16.376373110478,2.0889728051683,NA,0.487327190908949,97896.7652561483,97245.7036721103,FALSE,100,10,100,1,1,0.1,0.181818181818182,0.975,0.630555555555556,0.146616541353383,0.254901960784314,0.000935772347229746,57.2647999557861,0.485849301977923,50.1618197904693,269,-193935.34434225,-192696.55356222,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC + refit",4,NA,16.376373110478,2.0889728051683,NA,0.503200125418886,97981.72688463,NA,TRUE,82,10,100,1,1,0.1,0.181818181818182,NA,NA,NA,NA,0.00177502756820874,70.1485277825406,2.12026782870067,58.0347580276224,403,-193179.62839183,-191323.744806877,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC",4,NA,NA,NA,1.71386825745408,0.517890446453585,97773.4067273999,97499.6129037882,TRUE,3,10,23,1,0.144444444444444,0.434782608695652,0.606060606060606,NA,NA,NA,NA,0.000221541252865318,94.0570001822074,0.777054673021323,62.9595743741078,172,-194358.679546815,-193566.590274825,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,1.71386825745408,0.553834415865681,97843.189963504,NA,TRUE,53,10,23,1,0.144444444444444,0.434782608695652,0.606060606060606,NA,NA,NA,NA,0.000224049435638478,13.8778429399884,0.449014394884698,59.6910904550022,95,-195030.143175505,-194592.652007836,"controlled_concdom_common_support",4,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC",4,21.7066215431356,NA,NA,NA,0.494253165036523,97851.8092156958,97515.1895888483,TRUE,2,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,1,0.733333333333333,0.131578947368421,0.232558139534884,0.000258607154912406,8.87413123235828,0.464034194872714,60.2499488695594,307,-193582.937560744,-192169.150313646,"controlled_concdom_common_support",5,1000,100,4,10,0.95,0.95,25,100,4
"Rossi path BIC + refit",4,21.7066215431356,NA,NA,NA,0.476619343425912,97877.8154264758,NA,TRUE,82,10,99,1,0.988888888888889,0.101010101010101,0.18348623853211,NA,NA,NA,NA,0.000548480465332575,3.70147118014019,0.761719727543741,59.3762813229177,399,-192999.436496638,-191161.973592428,"controlled_concdom_common_support",5,1000,100,4,10,0.95,0.95,25,100,4
"Separate 2D path/grid BIC",4,NA,31.8359515548123,0,NA,0.505821183550931,97829.2861834784,97362.7008993739,TRUE,2,10,98,1,0.977777777777778,0.102040816326531,0.185185185185185,1,0.608333333333333,0.154440154440154,0.267558528428094,0.000185864621363458,5.72219251630314,0.336552126264501,59.7196996581704,262,-193848.740483863,-192642.185895135,"controlled_concdom_common_support",5,1000,100,4,10,0.95,0.95,25,100,4
