"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","scenario","rep","n","d","K_true"
"Rossi path BIC",4,103.928975220122,NA,NA,NA,0.944170610782986,90727.8001141288,89657.0065808064,TRUE,2,33,37,0.96969696969697,0.0746268656716418,0.864864864864865,0.914285714285714,0.9,0.0194444444444444,0.837209302325581,0.867469879518072,7.25276197436576e-05,1.42366999619597,0.0761118436666049,35.8045856414933,46,-181137.843485424,-180926.005656869,"paperlike_sparse_active",1,1000,100,4
"Rossi path BIC + refit",4,103.928975220122,NA,NA,NA,0.934156976191311,90797.9627874389,NA,TRUE,3,33,37,0.96969696969697,0.0746268656716418,0.864864864864865,0.914285714285714,NA,NA,NA,NA,0.00013988509288078,2.10634384213358,0.13525459081304,36.0939482511669,151,-180552.854527751,-179857.473829667,"paperlike_sparse_active",1,1000,100,4
"Separate 2D path/grid BIC",4,NA,103.928975220122,0,NA,0.944170610782986,90727.8001141288,89657.0065808064,TRUE,2,33,37,0.96969696969697,0.0746268656716418,0.864864864864865,0.914285714285714,0.9,0.0194444444444444,0.837209302325581,0.867469879518072,7.25276197436577e-05,1.42366999619597,0.0761118436666049,35.8045856414933,46,-181137.843485424,-180926.005656869,"paperlike_sparse_active",1,1000,100,4
"Separate 2D path/grid BIC + refit",4,NA,103.928975220122,0,NA,0.934156976191311,90797.9627874389,NA,TRUE,3,33,37,0.96969696969697,0.0746268656716418,0.864864864864865,0.914285714285714,NA,NA,NA,NA,0.00013988509288078,2.1063438421336,0.13525459081304,36.0939482511669,151,-180552.854527752,-179857.473829667,"paperlike_sparse_active",1,1000,100,4
"Eta centered path BIC",4,NA,NA,NA,2.0455176750762,0.931301897255566,90667.3782295476,90176.1038016716,TRUE,4,33,30,0.909090909090909,0,1,0.952380952380952,NA,NA,NA,NA,0.000320268000512409,9.17043009015547,0.311565753515921,31.9740383933814,193,-180001.559690252,-179112.761844356,"paperlike_sparse_active",1,1000,100,4
"Eta centered path BIC + refit",4,NA,NA,NA,2.0455176750762,0.931737180403769,90761.8341369797,NA,TRUE,3,33,30,0.909090909090909,0,1,0.952380952380952,NA,NA,NA,NA,0.000111726155640659,1.71884507856218,0.0994497866940566,35.9440205599512,123,-180674.014374645,-180107.578441768,"paperlike_sparse_active",1,1000,100,4
"Rossi path BIC",4,133.469649018957,NA,NA,NA,0.918966604323748,90683.1626728972,89467.2789968202,TRUE,2,32,33,0.90625,0.0588235294117647,0.878787878787879,0.892307692307692,0.9,0.0138888888888889,0.878048780487805,0.888888888888889,0.000194715365198269,0.881200070430254,0.159750298316869,35.3455774600649,44,-181062.384113519,-180859.756625336,"paperlike_sparse_active",2,1000,100,4
"Rossi path BIC + refit",4,133.469649018957,NA,NA,NA,0.91613637003813,90799.802616634,NA,TRUE,3,32,33,0.90625,0.0588235294117647,0.878787878787879,0.892307692307692,NA,NA,NA,NA,0.000148188663089503,0.629461601303747,0.121993930946067,35.8212994891879,135,-180667.058270605,-180045.360295497,"paperlike_sparse_active",2,1000,100,4
"Separate 2D path/grid BIC",4,NA,133.469649018957,0,NA,0.918966604323748,90683.1626728972,89467.2789968202,TRUE,2,32,33,0.90625,0.0588235294117647,0.878787878787879,0.892307692307692,0.9,0.0138888888888889,0.878048780487805,0.888888888888889,0.000194715365198269,0.881200070430254,0.159750298316869,35.3455774600649,44,-181062.384113519,-180859.756625336,"paperlike_sparse_active",2,1000,100,4
"Separate 2D path/grid BIC + refit",4,NA,133.469649018957,0,NA,0.91613637003813,90799.802616634,NA,TRUE,3,32,33,0.90625,0.0588235294117647,0.878787878787879,0.892307692307692,NA,NA,NA,NA,0.000148188663089503,0.629461601303729,0.121993930946067,35.8212994891879,135,-180667.058270605,-180045.360295497,"paperlike_sparse_active",2,1000,100,4
