"scenario","method","reps","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","rep","n","d","K_true"
"paperlike_sparse_active","Rossi path BIC",20,4,121.470278260444,NA,NA,NA,0.903171363831471,90291.304470952,89104.2095184069,2,34.1,33.55,0.904061331809884,0.0414650266561151,0.920926856377246,0.910457325059673,0.87125,0.0113888888888889,0.899612672399162,0.882924467232563,0.000131937607347379,0.586884601501333,0.108805906938956,33.6804633489165,41.95,-180292.828607951,-180099.641718648,10.5,1000,100,4
"paperlike_sparse_active","Rossi path BIC + refit",20,4,121.470278260444,NA,NA,NA,0.901812298548832,90380.601574712,NA,3.8,34.1,33.55,0.904061331809884,0.0414650266561151,0.920926856377246,0.910457325059673,NA,NA,NA,NA,0.000166433668682345,0.780066981220719,0.141040005503914,34.0619771855327,137.2,-179813.459125148,-179181.62977563,10.5,1000,100,4
"paperlike_sparse_active","Separate 2D path/grid BIC",20,4,NA,118.563651601036,0,NA,0.903171363831471,90292.8838285231,89135.7752834496,2,34.1,34.15,0.90572799847655,0.049322169513258,0.90852147370273,0.904131232913576,0.8725,0.0129166666666667,0.889431676924049,0.877847265952831,0.000131255849340664,0.589049646396789,0.107435010114523,33.6859114633293,42.55,-180291.842669925,-180095.892678512,10.5,1000,100,4
"paperlike_sparse_active","Separate 2D path/grid BIC + refit",20,4,NA,118.563651601036,0,NA,0.90194808513412,90383.0085720351,NA,3.8,34.1,34.15,0.90572799847655,0.049322169513258,0.90852147370273,0.904131232913576,NA,NA,NA,NA,0.000168447192780116,0.787582617456641,0.145691183316987,34.0702010552563,139.6,-179801.694507124,-179158.81274916,10.5,1000,100,4
"paperlike_sparse_active","Eta centered path BIC",20,4,NA,NA,NA,1.77633211680347,0.899211823239016,90300.7234796586,89897.8277441899,3.7,34.1,32.15,0.877697269672608,0.0342181029305037,0.933451552685037,0.902503419975376,NA,NA,NA,NA,0.00034586866598969,9.89428002231028,0.318489942565397,30.6032790621458,199.45,-179223.695168924,-178305.193975329,10.5,1000,100,4
"paperlike_sparse_active","Eta centered path BIC + refit",20,4,NA,NA,NA,1.77633211680347,0.902294981923753,90372.5553196703,NA,3.75,34.1,32.15,0.877697269672608,0.0342181029305037,0.933451552685037,0.902503419975376,NA,NA,NA,NA,0.000172176704488513,0.734259447420482,0.149926704216258,34.0295208696147,131.6,-179836.050044627,-179230.009648151,10.5,1000,100,4
"realistic_concdom","Rossi path BIC",20,4,129.903539138479,NA,NA,NA,0.639940072608708,97548.3223781983,95975.9582066514,2.45,19,48.85,1,0.368518518518519,0.415348304038743,0.579912787934856,0.99875,0.103472222222222,0.545966654311848,0.698452465615974,0.000189263818042469,2.38004463809071,0.186045783653052,57.8218380047138,80.2,-194542.642783022,-194173.308134106,10.5,1000,100,4
"realistic_concdom","Rossi path BIC + refit",20,4,129.903539138479,NA,NA,NA,0.626097019357273,97646.2733951054,NA,22.75,19,48.85,1,0.368518518518519,0.415348304038743,0.579912787934856,NA,NA,NA,NA,0.000260116940920121,3.24927716073008,0.413367305289092,58.2391111347345,198.4,-193922.048142861,-193008.382377961,10.5,1000,100,4
"realistic_concdom","Separate 2D path/grid BIC",20,4,NA,93.9313813673634,0.181275808337396,NA,0.641113749072001,97583.7581377054,96380.1586569077,2.35,19,67.7,1,0.601234567901235,0.3027185241018,0.457935901165926,1,0.21,0.388803692497322,0.547244979561655,0.000149415090487371,2.65753805226244,0.186408237234973,57.6651729136313,118.6,-194348.256499324,-193802.083315265,10.5,1000,100,4
"realistic_concdom","Separate 2D path/grid BIC + refit",20,4,NA,93.9313813673634,0.181275808337396,NA,0.615498768261143,97681.0272892118,NA,27.45,19,67.7,1,0.601234567901235,0.3027185241018,0.457935901165926,NA,NA,NA,NA,0.000354751521952652,3.40097052355542,0.53145055175374,58.439751746435,273.8,-193470.711183038,-192209.815586115,10.5,1000,100,4
