"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","scenario","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Rossi path BIC",4,37.8656097468706,NA,NA,NA,0.691264321803489,97573.9142301523,97044.7671618486,TRUE,2,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,1,0.575,0.161943319838057,0.278745644599303,0.000119314713077764,1.28075072201483,0.268644636534305,58.5017067014257,250,-193420.889640559,-192269.597094062,1,1,0.961538461538462,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Rossi path BIC + refit",4,37.8656097468706,NA,NA,NA,0.657450441874697,97619.3376424545,NA,TRUE,12,22,97,1,0.961538461538462,0.22680412371134,0.369747899159664,NA,NA,NA,NA,0.000317870694956329,1.77395168588832,0.601623290635327,58.7036157220465,391,-192537.742970827,-190737.121428106,1,1,0.961538461538462,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Separate 2D path/grid BIC",4,NA,74.6445642470132,3.46510737618907,NA,0.675818833383187,97478.8926981754,95779.8974448808,TRUE,2,22,77,1,0.705128205128205,0.285714285714286,0.444444444444444,1,0.283333333333333,0.28169014084507,0.43956043956044,9.21764208994503e-05,13.0691487818718,0.170742705884962,53.9044198408825,145,-193956.160880898,-193288.41120393,1,1,0.705128205128205,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,74.6445642470132,3.46510737618907,NA,0.663230039389827,97596.8261850645,NA,TRUE,17,22,77,1,0.705128205128205,0.285714285714286,0.444444444444444,NA,NA,NA,NA,0.00027763607116311,1.21485299748276,0.536494024506066,58.4659036166693,311,-193045.340478366,-191613.132550523,1,1,0.705128205128205,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Eta centered path BIC",4,NA,NA,NA,1.89189118854707,0.619176961619867,97382.3922686176,96994.128942436,TRUE,30,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,0.000308302781670298,14.4842348017462,0.468024415037424,58.6183184407281,178,-193535.204097576,-192715.48380447,1,1,0.0384615384615385,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Eta centered path BIC + refit",4,NA,NA,NA,1.89189118854707,0.690631446484044,97467.2421897098,NA,TRUE,28,22,25,1,0.0384615384615385,0.88,0.936170212765957,NA,NA,NA,NA,9.6828333560579e-05,0.359793226987566,0.180912585273141,58.0622413576249,103,-194222.985585684,-193748.653056528,1,1,0.0384615384615385,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Rossi path BIC",4,10.5826127001648,NA,NA,NA,0.683463420568454,97559.8551777652,97393.3663549574,TRUE,2,22,100,1,1,0.22,0.360655737704918,1,0.830555555555556,0.117994100294985,0.211081794195251,0.000257766340322046,0.863496823403286,0.461620024831709,57.7135006525346,342,-192757.258050118,-191182.289846511,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Rossi path BIC + refit",4,10.5826127001648,NA,NA,NA,0.659627220431396,97565.8537338386,NA,TRUE,19,22,100,1,1,0.22,0.360655737704918,NA,NA,NA,NA,0.000383780570036147,1.05661059716569,0.617898711632834,57.4736008625545,403,-192347.882090247,-190491.998505294,1,1,1,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Separate 2D path/grid BIC",4,NA,54.562047282138,2.7352106332319,NA,0.687189410065685,97462.936131407,96158.1218720682,TRUE,2,22,90,1,0.871794871794872,0.244444444444444,0.392857142857143,1,0.358333333333333,0.236686390532544,0.382775119617225,6.93907458365009e-05,12.224281871614,0.159268398537791,54.067724106402,172,-193737.738354829,-192945.649082839,1,1,0.871794871794872,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,54.562047282138,2.7352106332319,NA,0.669728318552073,97557.4007331864,NA,TRUE,11,22,90,1,0.871794871794872,0.244444444444444,0.392857142857143,NA,NA,NA,NA,0.000351597125928814,1.30741236902922,0.573251961749198,57.3398166836262,363,-192607.286300102,-190935.609522589,1,1,0.871794871794872,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.5,40,0.857142857142857,30,90,3
