"method","K_fit","beta","lambda_mu","lambda_kappa","lambda_eta","ARI","loglik","pen_loglik","converged","iter","true_union_q","selected_q","TPR","FPR","Precision","F1","entry_TPR","entry_FPR","entry_Precision","entry_F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","df","BIC","EBIC","common_selection_rate","specific_selection_rate","noise_selection_rate","scenario","rep","n","d","K_true","common_q","specific_q_per_component","specific_weight","true_entry_q","mu_pairwise_cos_mean","kappa_true_min","kappa_true_max","kappa_true_ratio"
"Rossi path BIC",4,36.3668269255761,NA,NA,NA,0.407721387292428,97850.0085907195,97363.2171300427,TRUE,2,22,94,1,0.923076923076923,0.234042553191489,0.379310344827586,1,0.572222222222222,0.16260162601626,0.27972027972028,0.000287771214812267,48.470877979691,0.952210531042688,63.1991524155003,249,-193979.986116972,-192833.298740661,1,1,0.923076923076923,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Rossi path BIC + refit",4,36.3668269255761,NA,NA,NA,0.368191368779462,97909.7987190761,NA,TRUE,78,22,94,1,0.923076923076923,0.234042553191489,0.379310344827586,NA,NA,NA,NA,0.00057987814415212,114.779646933594,2.32464607396854,65.5747232235065,379,-193201.558187418,-191456.198686929,1,1,0.923076923076923,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Separate 2D path/grid BIC",4,NA,49.2553070210276,0,NA,0.415798159949791,97823.1109481664,97188.2452963888,TRUE,5,22,92,1,0.897435897435897,0.239130434782609,0.385964912280702,0.95,0.472222222222222,0.182692307692308,0.306451612903226,0.00036088551730726,179.85711171951,2.11266948874123,66.0726602643874,211,-194188.685532468,-193216.994623224,1,1,0.897435897435897,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,49.2553070210276,0,NA,0.396190504740568,97921.1103476063,NA,TRUE,37,22,92,1,0.897435897435897,0.239130434782609,0.385964912280702,NA,NA,NA,NA,0.00103410414095082,350.299164209488,5.63377986052753,68.5799872395814,371,-193279.44348671,-191570.925347709,1,1,0.897435897435897,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Eta centered path BIC",4,NA,NA,NA,1.73177528462824,0.37031879290573,97694.1929799154,97324.9102581755,TRUE,10,22,43,0.863636363636364,0.307692307692308,0.441860465116279,0.584615384615385,NA,NA,NA,NA,0.000641076314622031,227.593979162368,2.76902633250062,66.6759267856287,232,-193785.786735107,-192717.387251958,1,0.8125,0.307692307692308,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Eta centered path BIC + refit",4,NA,NA,NA,1.73177528462824,0.422989940949659,97781.4334980875,NA,TRUE,26,22,43,0.863636363636364,0.307692307692308,0.441860465116279,0.584615384615385,NA,NA,NA,NA,0.000820926948950981,239.163996006445,3.89259803736022,66.4877149372478,175,-194354.009822353,-193548.105039805,1,0.8125,0.307692307692308,"specific_effect_common6_specific4",1,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Rossi path BIC",4,28.8943288265552,NA,NA,NA,0.452550366458911,97790.9487228125,97394.4678517367,TRUE,2,22,99,1,0.987179487179487,0.222222222222222,0.363636363636364,1,0.583333333333333,0.16,0.275862068965517,0.000210928207864901,2.05057198120279,0.462647838095256,58.7848754129988,253,-193834.235360043,-192669.127302988,1,1,0.987179487179487,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Rossi path BIC + refit",4,28.8943288265552,NA,NA,NA,0.442722583119367,97832.5573337288,NA,TRUE,49,22,99,1,0.987179487179487,0.222222222222222,0.363636363636364,NA,NA,NA,NA,0.000535280805630878,0.571171701201176,1.00551887603761,57.7913533652872,399,-192908.920311144,-191071.457406934,1,1,0.987179487179487,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Separate 2D path/grid BIC",4,NA,60.3097314510138,0,NA,0.467088987509912,97710.51231016,96998.4288427866,TRUE,11,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,1,0.286111111111111,0.27972027972028,0.437158469945355,0.000108287670063339,4.97125240911853,0.272228365497507,57.2888266641403,146,-194412.492349589,-193740.137502434,1,1,0.794871794871795,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.25,40,0.96,30,90,3
"Separate 2D path/grid BIC + refit",4,NA,60.3097314510138,0,NA,0.428111901603444,97812.9595446721,NA,TRUE,55,22,84,1,0.794871794871795,0.261904761904762,0.415094339622642,NA,NA,NA,NA,0.000456442820624171,0.478109260525005,0.815247748801089,57.356401936943,339,-193284.190049769,-191723.037356719,1,1,0.794871794871795,"specific_effect_common6_specific4",2,1000,100,4,6,4,0.25,40,0.96,30,90,3
