"scenario","scenario_desc","method","reps","valid_reps","error_reps","zero_support_refit_reps","ARI","selected_q","common_selected_q","decision_selected_q","noise_selected_q","TPR","FPR","Precision","F1","MSE_mu","MSE_kappa","MSE_eta","common_q","decision_q","noise_q","true_q","target_angle_deg","kappa_true_min","kappa_true_max","kappa_true_ratio","interpretation"
"S1-N","mean moderate / kappa heterogeneous","D-L",5,5,0,0,0.846946,198.2,4,80,114.2,1,0.985,0.403647,0.575136,0.000538,6.846,0.742933,4,80,116,80,90,30,60,2,"entry-wise penalty; dense selection"
"S1-N","mean moderate / kappa heterogeneous","D-GL",5,5,0,0,0.861307,87.8,4,80,3.8,1,0.065,0.911369,0.953576,0.000274,2.592,0.351683,4,80,116,80,90,30,60,2,"direction-group baseline"
"S1-N","mean moderate / kappa heterogeneous","D-AGL",5,5,0,0,0.862812,85.8,4,80,1.8,1,0.048333,0.932623,0.96508,0.000258,2.467,0.331358,4,80,116,80,90,30,60,2,"direction-group baseline"
"S1-N","mean moderate / kappa heterogeneous","E-L",5,5,0,0,0.846779,194.4,4,80,110.4,1,0.953333,0.411628,0.583166,0.000536,6.657,0.740253,4,80,116,80,90,30,60,2,"entry-wise penalty; dense selection"
"S1-N","mean moderate / kappa heterogeneous","E-GL",5,5,0,0,0.864681,89.6,0.6,80,9,1,0.08,0.894838,0.94398,0.001572,18.935,0.380701,4,80,116,80,90,30,60,2,"diagnostic row"
"S1-N","mean moderate / kappa heterogeneous","E-AGL",5,5,0,0,0.866065,82.2,0.4,80,1.8,1,0.018333,0.973659,0.986547,0.001605,22.582,0.311749,4,80,116,80,90,30,60,2,"low noise/common selection"
"S2-N","mean moderate / kappa equal","D-L",5,5,0,0,0.888,197.8,4,80,113.8,1,0.981667,0.404463,0.575964,0.000432,4.982,0.726114,4,80,116,80,90,45,45,1,"entry-wise penalty; dense selection"
"S2-N","mean moderate / kappa equal","D-GL",5,5,0,0,0.892135,86.4,4,80,2.4,1,0.053333,0.92615,0.961602,0.000202,1.494,0.319554,4,80,116,80,90,45,45,1,"direction-group baseline"
"S2-N","mean moderate / kappa equal","D-AGL",5,5,0,0,0.893096,85.2,4,80,1.2,1,0.043333,0.93904,0.968543,0.000193,1.504,0.306301,4,80,116,80,90,45,45,1,"direction-group baseline"
"S2-N","mean moderate / kappa equal","E-L",5,5,0,0,0.886005,192.4,4,80,108.4,1,0.936667,0.415912,0.58745,0.000429,4.897,0.724069,4,80,116,80,90,45,45,1,"entry-wise penalty; dense selection"
"S2-N","mean moderate / kappa equal","E-GL",5,5,0,0,0.899859,88.2,0.6,80,7.6,1,0.068333,0.909139,0.951844,0.001376,20.952,0.355067,4,80,116,80,90,45,45,1,"diagnostic row"
"S2-N","mean moderate / kappa equal","E-AGL",5,5,0,0,0.89475,81.8,0,80,1.8,1,0.015,0.978077,0.988896,0.001552,31.364,0.289717,4,80,116,80,90,45,45,1,"low noise/common selection"
"S3-N","mean small / kappa heterogeneous","D-L",5,5,0,0,0.55907,200,4,80,116,1,1,0.4,0.571429,0.001221,83.711,2.032246,4,80,116,80,60,30,60,2,"entry-wise penalty; dense selection"
"S3-N","mean small / kappa heterogeneous","D-GL",5,5,0,0,0.590057,108.4,4,79.2,25.2,0.99,0.243333,0.73684,0.843056,0.001012,89.8,1.665125,4,80,116,80,60,30,60,2,"direction-group baseline"
"S3-N","mean small / kappa heterogeneous","D-AGL",5,5,0,0,0.583311,91.6,4,75,12.6,0.9375,0.138333,0.822278,0.874612,0.001089,115.311,1.830987,4,80,116,80,60,30,60,2,"direction-group baseline"
"S3-N","mean small / kappa heterogeneous","E-L",5,5,0,0,0.56553,199,4,80,115,1,0.991667,0.402035,0.573495,0.001225,89.532,2.075201,4,80,116,80,60,30,60,2,"entry-wise penalty; dense selection"
"S3-N","mean small / kappa heterogeneous","E-GL",5,5,0,0,0.574743,113.2,1.4,72.6,39.2,0.9075,0.338333,0.655817,0.755109,0.003259,153.407,2.188284,4,80,116,80,60,30,60,2,"diagnostic row"
"S3-N","mean small / kappa heterogeneous","E-AGL",5,5,0,0,0.584422,77,0.2,66.6,10.2,0.8325,0.086667,0.872918,0.84816,0.00446,143.929,1.215176,4,80,116,80,60,30,60,2,"Eta-group under-selects dense decision support"
"S4-N","mean small / kappa equal","D-L",5,5,0,0,0.556959,199.2,4,80,115.2,1,0.993333,0.40162,0.573076,0.000568,8.076,1.032438,4,80,116,80,60,45,45,1,"entry-wise penalty; dense selection"
"S4-N","mean small / kappa equal","D-GL",5,5,0,0,0.000383,4,4,0,0,0,0.033333,0,NA,0.002208,91.406,4.101808,4,80,116,80,60,45,45,1,"direction-group baseline"
"S4-N","mean small / kappa equal","D-AGL",5,5,0,0,0.000713,4.2,4,0.2,0,0.0025,0.033333,0.04,0.023529,0.002214,94.571,4.07838,4,80,116,80,60,45,45,1,"direction-group baseline"
"S4-N","mean small / kappa equal","E-L",5,5,0,0,0.559075,197.2,4,80,113.2,1,0.976667,0.405698,0.577214,0.000566,7.981,1.030735,4,80,116,80,60,45,45,1,"entry-wise penalty; dense selection"
"S4-N","mean small / kappa equal","E-GL",5,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,80,116,80,60,45,45,1,"zero-support selected; refit not valid"
"S4-N","mean small / kappa equal","E-AGL",5,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,80,116,80,60,45,45,1,"zero-support selected; refit not valid"
