"scenario","scenario_desc","method","reps","valid_reps","error_reps","zero_support_refit_reps","ARI","selected_q","common_selected_q","decision_selected_q","noise_selected_q","TPR","FPR","Precision","F1","MSE_mu","MSE_kappa","MSE_eta","common_q","decision_q","noise_q","true_q","target_angle_deg","kappa_true_min","kappa_true_max","kappa_true_ratio","interpretation"
"S1-N","mean moderate / kappa heterogeneous","D-L",50,50,0,0,0.836661,199.04,4,80,115.04,1,0.992,0.401943,0.573404,0.00053,6.356,0.743436,4,80,116,80,90,30,60,2,"entry-wise penalty; dense selection"
"S1-N","mean moderate / kappa heterogeneous","D-GL",50,50,0,0,0.854462,86.66,4,80,2.66,1,0.0555,0.923548,0.960152,0.00026,2.099,0.334654,4,80,116,80,90,30,60,2,"direction-group baseline"
"S1-N","mean moderate / kappa heterogeneous","D-AGL",50,50,0,0,0.856535,85.48,4,79.96,1.52,0.9995,0.046,0.935669,0.966467,0.000251,1.999,0.325569,4,80,116,80,90,30,60,2,"direction-group baseline"
"S1-N","mean moderate / kappa heterogeneous","E-L",50,50,0,0,0.836915,195.86,3.86,80,112,1,0.9655,0.408504,0.58004,0.000578,5.836,0.741691,4,80,116,80,90,30,60,2,"entry-wise penalty; dense selection"
"S1-N","mean moderate / kappa heterogeneous","E-GL",50,50,0,0,0.854561,88.34,0.22,79.98,8.14,0.99975,0.069667,0.90667,0.950597,0.001711,23.315,0.373513,4,80,116,80,90,30,60,2,"diagnostic row"
"S1-N","mean moderate / kappa heterogeneous","E-AGL",50,50,0,0,0.857377,82.4,0.14,79.98,2.28,0.99975,0.020167,0.971066,0.985088,0.001704,25.91,0.318071,4,80,116,80,90,30,60,2,"low noise/common selection"
"S2-N","mean moderate / kappa equal","D-L",50,50,0,0,0.886389,197.22,4,80,113.22,1,0.976833,0.405657,0.577173,0.000422,5.32,0.701417,4,80,116,80,90,45,45,1,"entry-wise penalty; dense selection"
"S2-N","mean moderate / kappa equal","D-GL",50,50,0,0,0.898746,85.66,4,80,1.66,1,0.047167,0.934213,0.965914,0.000192,1.948,0.306127,4,80,116,80,90,45,45,1,"direction-group baseline"
"S2-N","mean moderate / kappa equal","D-AGL",50,50,0,0,0.898335,84.58,4,80,0.58,1,0.038167,0.945914,0.972189,0.000184,1.874,0.294603,4,80,116,80,90,45,45,1,"direction-group baseline"
"S2-N","mean moderate / kappa equal","E-L",50,50,0,0,0.88605,192.18,3.72,80,108.46,1,0.934833,0.416345,0.587895,0.00051,4.473,0.698359,4,80,116,80,90,45,45,1,"entry-wise penalty; dense selection"
"S2-N","mean moderate / kappa equal","E-GL",50,50,0,0,0.89723,87.36,0.36,80,7,1,0.061333,0.917379,0.956485,0.001451,25.334,0.345387,4,80,116,80,90,45,45,1,"diagnostic row"
"S2-N","mean moderate / kappa equal","E-AGL",50,50,0,0,0.897391,81.82,0.04,80,1.78,1,0.015167,0.978059,0.988832,0.001535,31.435,0.29216,4,80,116,80,90,45,45,1,"low noise/common selection"
"S3-N","mean small / kappa heterogeneous","D-L",50,50,0,0,0.547278,199.78,4,80,115.78,1,0.998167,0.400443,0.571879,0.001268,111.411,2.279878,4,80,116,80,60,30,60,2,"entry-wise penalty; dense selection"
"S3-N","mean small / kappa heterogeneous","D-GL",50,50,0,0,0.568752,98.4,4,77.16,17.24,0.9645,0.177,0.79561,0.868633,0.001079,197.337,2.319644,4,80,116,80,60,30,60,2,"direction-group baseline"
"S3-N","mean small / kappa heterogeneous","D-AGL",50,50,0,0,0.568233,85.84,4,72.62,9.22,0.90775,0.110167,0.856167,0.877298,0.001061,168.01,2.113159,4,80,116,80,60,30,60,2,"direction-group baseline"
"S3-N","mean small / kappa heterogeneous","E-L",50,50,0,0,0.548131,198.36,3.92,79.98,114.46,0.99975,0.9865,0.403241,0.574677,0.001342,96.061,2.204584,4,80,116,80,60,30,60,2,"entry-wise penalty; dense selection"
"S3-N","mean small / kappa heterogeneous","E-GL",50,50,0,0,0.558245,97.02,1.06,69.44,26.52,0.868,0.229833,0.731209,0.7879,0.003628,194.378,2.309347,4,80,116,80,60,30,60,2,"Eta-group under-selects dense decision support"
"S3-N","mean small / kappa heterogeneous","E-AGL",50,50,0,0,0.564619,76.06,0.38,65.44,10.24,0.818,0.0885,0.870219,0.840139,0.004275,187.581,1.602521,4,80,116,80,60,30,60,2,"Eta-group under-selects dense decision support"
"S4-N","mean small / kappa equal","D-L",50,50,0,0,0.562644,199.3,4,80,115.3,1,0.994167,0.401416,0.572868,0.000553,8.86,1.001725,4,80,116,80,60,45,45,1,"entry-wise penalty; dense selection"
"S4-N","mean small / kappa equal","D-GL",50,50,0,0,5.2e-05,4.02,4,0,0.02,0,0.0335,0,NA,0.002158,95.514,3.95743,4,80,116,80,60,45,45,1,"direction-group baseline"
"S4-N","mean small / kappa equal","D-AGL",50,50,0,0,0.000202,4.02,4,0.02,0,0.00025,0.033333,0.004,0.023529,0.002156,96.456,3.944802,4,80,116,80,60,45,45,1,"direction-group baseline"
"S4-N","mean small / kappa equal","E-L",50,50,0,0,0.564098,196.04,3.8,80,112.24,1,0.967,0.408277,0.579764,0.000726,9.981,0.995529,4,80,116,80,60,45,45,1,"entry-wise penalty; dense selection"
"S4-N","mean small / kappa equal","E-GL",50,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,80,116,80,60,45,45,1,"zero-support selected; refit not valid"
"S4-N","mean small / kappa equal","E-AGL",50,10,0,0,0.6287,16.7,0,16,0.7,0.2,0.005833,0.95882,0.978791,0.004234,258.843,0.388192,4,80,116,80,60,45,45,1,"Eta-group under-selects dense decision support"
