"target_eB","achieved_eB","n","scenario","method","reps","valid_reps","selected_q","common_q","decision_q","noise_q","TPR","FPR","Precision","F1","ARI","MSE_mu","MSE_kappa","MSE_eta","zero_support_refit_reps","elapsed_sec"
0.025,0.0242,300,"equal_kappa","D-AGL",50,50,48.34,4,16,28.34,1,0.176,0.331,0.497,0.918,0.001,13.729,0.898,0,2269.758
0.025,0.0242,300,"equal_kappa","D-GL",50,50,40.26,4,16,20.26,1,0.132,0.397,0.569,0.924,0,11.15,0.742,0,2269.758
0.025,0.0242,300,"equal_kappa","D-L",50,50,199.64,4,16,179.64,1,0.998,0.08,0.148,0.889,0.001,55.498,2.441,0,2269.758
0.025,0.0242,300,"equal_kappa","E-AGL",50,50,17.92,0,16,1.92,1,0.01,0.893,0.943,0.931,0.001,9.874,0.257,0,2269.758
0.025,0.0242,300,"equal_kappa","E-GL",50,50,17.94,0.06,16,1.88,1,0.011,0.892,0.943,0.932,0.001,9.333,0.277,0,2269.758
0.025,0.0242,300,"equal_kappa","E-L",50,50,197.82,3.98,16,177.84,1,0.988,0.081,0.15,0.89,0.001,55.23,2.434,0,2269.758
0.025,0.0254,300,"heterogeneous_kappa","D-AGL",50,50,55.04,3.7,16,35.34,1,0.212,0.291,0.45,0.911,0.001,16.494,1.026,0,2269.758
0.025,0.0254,300,"heterogeneous_kappa","D-GL",50,50,47.58,3.52,16,28.06,1,0.172,0.336,0.503,0.924,0.001,14.212,0.879,0,2269.758
0.025,0.0254,300,"heterogeneous_kappa","D-L",50,50,199.64,4,16,179.64,1,0.998,0.08,0.148,0.882,0.001,59.507,2.451,0,2269.758
0.025,0.0254,300,"heterogeneous_kappa","E-AGL",50,50,18,0.02,16,1.98,1,0.011,0.889,0.941,0.933,0,3.846,0.264,0,2269.758
0.025,0.0254,300,"heterogeneous_kappa","E-GL",50,50,18.9,0.08,16,2.82,1,0.016,0.847,0.917,0.932,0,3.975,0.306,0,2269.758
