"cell","rep","method","role","source_path_index","support_key","selected_q","old_BIC","tight_BIC","BIC_change","loglik","df","converged","failed","stop_reason","iter","constraint_error","min_loglik_diff","min_q_diff","max_inner_convergence","max_inner_gradient_abs"
"eB100_n1000_equal",30,"E-CGL","winner",155,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-493694.922247271,-493694.923820048,-0.00157277716789395,247714.385197536,251,TRUE,FALSE,"loglik_tolerance",10,1.11022302462516e-16,1.72927975654602e-05,1.19530595839024e-05,0,0.0106992332892535
"eB100_n1000_equal",30,"E-CGL","runnerup",154,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;147",17,-493694.887530185,-493694.88917684,-0.00164665543707088,247724.729508851,254,TRUE,FALSE,"loglik_tolerance",10,1.11022302462516e-16,1.66935496963561e-05,1.15889415610582e-05,0,0.0108857266046671
"eB100_n1000_equal",30,"E-ACGL","winner",151,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-493694.921986626,-493694.923818118,-0.0018314920598641,247714.385196571,251,TRUE,FALSE,"loglik_tolerance",7,1.11022302462516e-16,1.98780908249319e-05,1.42576755024493e-05,0,0.00812906323974172
"eB100_n1000_equal",30,"E-ACGL","runnerup",150,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;147",17,-493694.887600306,-493694.889186614,-0.00158630829537287,247724.729513738,254,TRUE,FALSE,"loglik_tolerance",8,1.11022302462516e-16,1.18763709906489e-05,6.40185317024589e-06,0,0.0120389732318067
"eB100_n300_equal",62,"E-CGL","winner",142,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-147455.693507822,-147455.694503557,-0.000995734502794221,74443.6719523476,251,TRUE,FALSE,"loglik_tolerance",15,2.22044604925031e-16,5.60555781703442e-06,3.70584893971682e-06,0,0.00424547247348084
"eB100_n300_equal",62,"E-CGL","runnerup",141,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;23",17,-147455.598157001,-147455.599241511,-0.00108451006235555,74452.1799950369,254,TRUE,FALSE,"loglik_tolerance",17,2.22044604925031e-16,6.30055728834122e-06,4.29742794949561e-06,0,0.00380990850444385
"eB100_n300_equal",62,"E-ACGL","winner",175,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-147455.692972394,-147455.694502704,-0.00153031013906002,74443.6719519214,251,TRUE,FALSE,"loglik_tolerance",16,2.22044604925031e-16,6.3807237893343e-06,4.33275999967009e-06,0,0.00419629024200674
"eB100_n300_equal",62,"E-ACGL","runnerup",174,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;23",17,-147455.597255335,-147455.599247186,-0.00199185142992064,74452.1799978745,254,TRUE,FALSE,"loglik_tolerance",18,2.22044604925031e-16,4.72564715892076e-06,3.44953150488436e-06,0,0.0117147788614907
"eB100_n300_equal",82,"E-CGL","winner",168,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-147521.35274155,-147521.353750131,-0.00100858145742677,74476.5015756351,251,TRUE,FALSE,"loglik_tolerance",17,2.22044604925031e-16,5.74869045522064e-06,2.99664679914713e-06,0,0.00421310324475588
"eB100_n300_equal",82,"E-CGL","runnerup",167,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;166",17,-147521.343243595,-147521.344183211,-0.000939616176765412,74485.0524658869,254,TRUE,FALSE,"loglik_tolerance",17,2.22044604925031e-16,4.59791044704616e-06,2.51851452048868e-06,0,0.0077625967629642
"eB100_n300_equal",82,"E-ACGL","winner",212,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-147521.352617453,-147521.353752523,-0.0011350698187016,74476.5015768308,251,TRUE,FALSE,"loglik_tolerance",15,2.22044604925031e-16,5.58796455152333e-06,2.68190342467278e-06,0,0.00791463119655278
"eB100_n300_equal",82,"E-ACGL","runnerup",211,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;166",17,-147521.343411181,-147521.344182835,-0.000771653547417372,74485.0524656986,254,TRUE,FALSE,"loglik_tolerance",13,2.22044604925031e-16,5.57259772904217e-06,3.00926330965012e-06,0,0.0033554352685341
"eB050_n300_heterogeneous",69,"E-CGL","winner",188,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-147396.410690047,-147396.412576622,-0.0018865745223593,74414.0309888801,251,TRUE,FALSE,"loglik_tolerance",21,2.22044604925031e-16,5.79451443627477e-06,3.15725628752261e-06,0,0.00343354795729756
"eB050_n300_heterogeneous",69,"E-CGL","runnerup",187,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;145",17,-147396.397296673,-147396.398519291,-0.00122261827345937,74422.579633927,254,TRUE,FALSE,"loglik_tolerance",19,2.22044604925031e-16,7.41062103770673e-06,3.89204069506377e-06,0,0.00323209794770651
"eB100_n1000_heterogeneous",2,"E-ACGL","winner",175,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;107",17,-494236.256353165,-494236.259688749,-0.00333558401325718,247995.414764805,254,TRUE,FALSE,"loglik_tolerance",13,1.77635683940025e-15,1.86471734195948e-05,1.11687986645848e-05,0,0.0101513499959425
"eB100_n1000_heterogeneous",2,"E-ACGL","runnerup",176,"5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20",16,-494236.186156811,-494236.197257854,-0.0111010434338823,247985.021916439,251,TRUE,FALSE,"loglik_tolerance",21,1.77635683940025e-15,2.00684589799494e-05,1.15099246613681e-05,0,0.0170503961947679
"eB100_n300_heterogeneous",18,"E-ACGL","winner",228,"6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;30",16,-147596.029708067,-147596.032952682,-0.00324461486889049,74513.8411769103,251,TRUE,FALSE,"loglik_tolerance",63,1.77635683940025e-15,7.34244531486183e-06,3.2516400096938e-06,0,0.00435927922133228
