"scenario","target_oracle_error","common_norm","endpoint_error_low","endpoint_error_high","achieved_oracle_error","achieved_mcse","achieved_ci_low","achieved_ci_high","calibration_mc_n","validation_mc_n","common_random_numbers","calibration_id","result_label","kappa_pattern"
"OBE025_equal_calibration",0.025,16.4911218166351,0.0161,0.6504,0.0233,0.000674642275580177,0.0219777011398629,0.0246222988601371,10000,50000,TRUE,"OBE025_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb025_n1000_rep100_path240_260712","equal"
"OBE025_equal_calibration",0.025,16.4911218166351,0.0161,0.6504,0.0233,0.000674642275580177,0.0219777011398629,0.0246222988601371,10000,50000,TRUE,"OBE025_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb025_n300_rep100_path240_260712","equal"
"OBE050_equal_calibration",0.05,26.4629466533661,0.0161,0.6504,0.05138,0.000987320572053475,0.0494448516787752,0.0533151483212248,10000,50000,TRUE,"OBE050_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712","equal"
"OBE050_equal_calibration",0.05,26.4629466533661,0.0161,0.6504,0.05138,0.000987320572053475,0.0494448516787752,0.0533151483212248,10000,50000,TRUE,"OBE050_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712","equal"
"OBE100_equal_calibration",0.1,33.0118779659271,0.0161,0.6504,0.10086,0.00134675358102364,0.0982203629811937,0.103499637018806,10000,50000,TRUE,"OBE100_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712","equal"
"OBE100_equal_calibration",0.1,33.0118779659271,0.0161,0.6504,0.10086,0.00134675358102364,0.0982203629811937,0.103499637018806,10000,50000,TRUE,"OBE100_equal_calibration","paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712","equal"
"OBE025_heterogeneous_calibration",0.025,10.9935118675232,0.0198,0.1418,0.0273,0.000728762101100215,0.0258716262818436,0.0287283737181564,10000,50000,TRUE,"OBE025_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712","heterogeneous"
"OBE025_heterogeneous_calibration",0.025,10.9935118675232,0.0198,0.1418,0.0273,0.000728762101100215,0.0258716262818436,0.0287283737181564,10000,50000,TRUE,"OBE025_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712","heterogeneous"
"OBE050_heterogeneous_calibration",0.05,21.0178301811218,0.0198,0.1418,0.04998,0.000974494736773883,0.0480699903159232,0.0518900096840768,10000,50000,TRUE,"OBE050_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712","heterogeneous"
"OBE050_heterogeneous_calibration",0.05,21.0178301811218,0.0198,0.1418,0.04998,0.000974494736773883,0.0480699903159232,0.0518900096840768,10000,50000,TRUE,"OBE050_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712","heterogeneous"
"OBE100_heterogeneous_calibration",0.1,27.6716345787048,0.0198,0.1418,0.09842,0.00133216743392113,0.0958089518295146,0.101031048170485,10000,50000,TRUE,"OBE100_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712","heterogeneous"
"OBE100_heterogeneous_calibration",0.1,27.6716345787048,0.0198,0.1418,0.09842,0.00133216743392113,0.0958089518295146,0.101031048170485,10000,50000,TRUE,"OBE100_heterogeneous_calibration","paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712","heterogeneous"
