"target_eB","n","kappa_pattern","paired_reps","contrast","selected_q_n","selected_q_mean_delta","selected_q_mcse","selected_q_ci_low","selected_q_ci_high","common_q_selected_n","common_q_selected_mean_delta","common_q_selected_mcse","common_q_selected_ci_low","common_q_selected_ci_high","decision_q_selected_n","decision_q_selected_mean_delta","decision_q_selected_mcse","decision_q_selected_ci_low","decision_q_selected_ci_high","noise_q_selected_n","noise_q_selected_mean_delta","noise_q_selected_mcse","noise_q_selected_ci_low","noise_q_selected_ci_high","F1_all_n","F1_all_mean_delta","F1_all_mcse","F1_all_ci_low","F1_all_ci_high","ARI_all_n","ARI_all_mean_delta","ARI_all_mcse","ARI_all_ci_low","ARI_all_ci_high","MSE_centered_eta_n","MSE_centered_eta_mean_delta","MSE_centered_eta_mcse","MSE_centered_eta_ci_low","MSE_centered_eta_ci_high","MSE_kappa_n","MSE_kappa_mean_delta","MSE_kappa_mcse","MSE_kappa_ci_low","MSE_kappa_ci_high"
0.025,300,"equal",100,"E-ACGL minus E-CGL",100,2.16,0.778722081880359,0.614846444558325,3.70515355544168,100,0.02,0.014070529413629,-0.00791898298031789,0.0479189829803179,100,0,0,0,0,100,2.14,0.774207969345434,0.603803423171493,3.67619657682851,100,-0.0351766933412828,0.0121857610814381,-0.0593558870470543,-0.0109974996355113,100,-0.00155518087433484,0.000715270724112438,-0.00297443317009223,-0.000135928578577447,100,0.0616264931102174,0.0214425577965631,0.0190798064449054,0.10417317977553,100,0.935851875568265,0.34248880101505,0.256279790865696,1.61542396027083
0.025,300,"heterogeneous",100,"E-ACGL minus E-CGL",100,0.79,0.448633165483468,-0.100185531996172,1.68018553199617,100,0.02,0.014070529413629,-0.00791898298031789,0.0479189829803179,100,0,0,0,0,100,0.77,0.447632379832768,-0.118199756143148,1.65819975614315,100,-0.0182351376258497,0.00950144492094079,-0.0370880657025451,0.00061779045084567,100,-0.000985556513510538,0.000912748441746746,-0.00279664744415852,0.000825534417137442,100,0.0302668248149081,0.0157466935626931,-0.000978031483624318,0.0615116811134405,100,0.396137942817505,0.255250066660761,-0.11033356634434,0.902609451979349
0.025,1000,"equal",100,"E-ACGL minus E-CGL",100,-0.05,0.021904291355759,-0.0934628662205849,-0.0065371337794151,100,0,0,0,0,100,0,0,0,0,100,-0.05,0.021904291355759,-0.0934628662205849,-0.0065371337794151,100,0.0015151515151515,0.000663766404719965,0.000198094963012577,0.00283220806729043,100,-2.54447177829298e-05,2.4933375695876e-05,-7.49179444989596e-05,2.40285089331001e-05,100,-0.000822484273056387,0.000386040590807953,-0.00158847255733796,-5.64959887748099e-05,100,-0.006693514900513,0.00221050797796386,-0.0110796423020059,-0.00230738749902009
0.025,1000,"heterogeneous",100,"E-ACGL minus E-CGL",100,0.01,0.0265718009562883,-0.0427242178916475,0.0627242178916475,100,0,0,0,0,100,0,0,0,0,100,0.01,0.0265718009562883,-0.0427242178916475,0.0627242178916475,100,-0.000303030303030301,0.000805206089584489,-0.00190073387550445,0.00129467326944385,100,-2.74534007820204e-05,0.000133120224735423,-0.000291592807301039,0.000236686005736999,100,0.000215169674335081,0.000393209116944124,-0.000565042521023777,0.000995381869693939,100,-0.0010408599297874,0.00467278681387017,-0.0103126827370181,0.00823096287744328
0.05,300,"equal",100,"E-ACGL minus E-CGL",100,0.28,0.246215804168259,-0.20854557237914,0.76854557237914,100,0,0,0,0,100,0,0,0,0,100,0.28,0.246215804168259,-0.20854557237914,0.76854557237914,100,-0.00527642636001768,0.00453019459578095,-0.0142653152709514,0.00371246255091606,100,-0.000173627193333171,0.000626224401749335,-0.00141619226678126,0.00106893788011492,100,0.00911582013416204,0.00760890235586725,-0.00598189290331558,0.0242135331716397,100,0.0859885238988208,0.0818884674053792,-0.0764959612663643,0.248473009064006
0.05,300,"heterogeneous",100,"E-ACGL minus E-CGL",100,0.84,0.360896750673187,0.123902549541805,1.55609745045819,100,0.02,0.014070529413629,-0.00791898298031789,0.0479189829803179,100,0,0,0,0,100,0.82,0.355442532541329,0.114724901616688,1.52527509838331,100,-0.0183741943691074,0.00781211285806927,-0.0338751211297947,-0.00287326760842012,100,-0.00048083806961367,0.00145159825228986,-0.00336112392870043,0.00239944778947309,100,0.0309720587483236,0.0130866026752658,0.00500539988138492,0.0569387176152622,100,0.457327641315294,0.208434993041122,0.0437473948193027,0.870907887811285
0.05,1000,"equal",100,"E-ACGL minus E-CGL",100,0.02,0.0425927389837918,-0.0645132347061352,0.104513234706135,100,0,0,0,0,100,0,0,0,0,100,0.02,0.0425927389837918,-0.0645132347061352,0.104513234706135,100,-0.000606060606060601,0.00127391945635044,-0.00313379318630691,0.0019216719741857,100,-0.000299348892305091,0.000165697810131154,-0.000628129296008075,2.94315113978927e-05,100,0.000312927503751809,0.000635099000743129,-0.000947246699458302,0.00157310170696192,100,0.00763657728526565,0.00246455568637529,0.0027463641142311,0.0125267904563002
0.05,1000,"heterogeneous",100,"E-ACGL minus E-CGL",100,-0.02,0.0283556062188838,-0.0762636745320186,0.0362636745320185,100,0,0,0,0,100,0,0,0,0,100,-0.02,0.0283556062188838,-0.0762636745320186,0.0362636745320185,100,0.000606060606060601,0.000859260794511625,-0.00109889922824298,0.00231102044036418,100,-0.000114254918074769,0.000209787686387416,-0.000530519201638774,0.000302009365489237,100,-0.000229535826600609,0.000425140216007232,-0.00107310625000327,0.000614034596802052,100,-0.00365612159316815,0.00352074651842711,-0.0106420465172701,0.00332980333093379
0.1,300,"equal",100,"E-ACGL minus E-CGL",100,-0.22,0.118560388227121,-0.45524953210692,0.0152495321069202,100,-0.01,0.01,-0.0298421695158642,0.00984216951586417,100,-0.02,0.014070529413629,-0.0479189829803179,0.00791898298031789,100,-0.19,0.10607315943025,-0.40047216104983,0.0204721610498299,100,0.00450818054494525,0.00277509148458782,-0.000998203020977014,0.0100145641108675,100,-0.00130973626938105,0.000989612253319308,-0.00327334167791485,0.00065386913915275,100,-0.0045796797074122,0.00650332467231643,-0.0174836867638926,0.00832432734906825,100,-0.0320685925928562,0.136383908952897,-0.302683856660812,0.2385466714751
0.1,300,"heterogeneous",100,"E-ACGL minus E-CGL",100,0.89,1.44424283752331,-1.97569112042101,3.75569112042101,100,0.02,0.0375513116961447,-0.0545099492217955,0.0945099492217955,100,-0.15,0.129782257429259,-0.407516155206287,0.107516155206287,100,1.02,1.35206389186191,-1.6627880938603,3.7027880938603,100,0.00452236025000614,0.0171011800100069,-0.0294100910179804,0.0384548115179926,100,0.00423622146663954,0.00500316899438341,-0.00569115126366758,0.0141635941969467,100,-0.0692500583897349,0.0974325896700859,-0.262577454450083,0.124077337670613,100,-11.3995310312131,6.855145330988,-25.001626602548,2.20256454012177
