"result_label","expected_cell","cell_identity_ok","complete_marker","status_complete","terminal_artifact_ok","completed_reps","raw_rows","expected_raw_rows","final_rows","expected_final_rows","row_keys_exact","standard_failure_rows","unexpected_failure_rows","invalid_candidate_refits","candidate_method_reps","candidate_keys_exact","winner_rows","winner_matches_raw","winner_rank_max","fallback_method_reps","fallback_guard_ok","group_selected_converged","max_group_constraint_error","zero_support_final_rows","calibration_abs_error","calibration_tolerance","calibration_target_in_ci","calibration_ok","error_log_bytes","pass","summary_groups_ok","core_valid_counts_ok","paired_groups_ok","paired_metric_counts_ok","calibration_cross_n_ok"
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb025_n1000_rep100_path240_260712","eB025_n1000_equal",TRUE,FALSE,FALSE,TRUE,100,800,800,600,600,TRUE,1,0,0,200,TRUE,200,TRUE,10,0,TRUE,TRUE,8.88178419700125e-16,0,0.0017,0.0025,FALSE,TRUE,102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb025_n300_rep100_path240_260712","eB025_n300_equal",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,13,0,TRUE,TRUE,8.88178419700125e-16,0,0.0017,0.0025,FALSE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n1000_rep100_path240_260712","eB050_n1000_equal",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,10,0,TRUE,TRUE,3.5527136788005e-15,0,0.00138,0.005,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb05_n300_rep100_path240_260712","eB050_n300_equal",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,13,0,TRUE,TRUE,3.5527136788005e-15,0,0.00138,0.005,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n1000_rep100_path240_260712","eB100_n1000_equal",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,11,0,TRUE,TRUE,1.77635683940025e-15,0,0.00086,0.01,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_equal_eb10_n300_rep100_path240_260712","eB100_n300_equal",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,14,0,TRUE,TRUE,3.5527136788005e-15,0,0.00086,0.01,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n1000_rep100_path240_260712","eB025_n1000_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,13,0,TRUE,TRUE,8.88178419700125e-16,0,0.0023,0.0025,FALSE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb025_n300_rep100_path240_260712","eB025_n300_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,14,0,TRUE,TRUE,8.88178419700125e-16,0,0.0023,0.0025,FALSE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n1000_rep100_path240_260712","eB050_n1000_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,11,0,TRUE,TRUE,1.77635683940025e-15,0,2.00000000000061e-05,0.005,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb05_n300_rep100_path240_260712","eB050_n300_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,24,0,TRUE,TRUE,1.77635683940025e-15,0,2.00000000000061e-05,0.005,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n1000_rep100_path240_260712","eB100_n1000_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,17,0,TRUE,TRUE,1.77635683940025e-15,0,0.00158000000000001,0.01,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"paper_eta_studyb_v2_refitB_guard40_all6_hetero_eb10_n300_rep100_path240_260712","eB100_n300_heterogeneous",TRUE,TRUE,TRUE,TRUE,100,800,800,600,600,TRUE,0,0,0,200,TRUE,200,TRUE,34,0,TRUE,TRUE,1.77635683940025e-15,0,0.00158000000000001,0.01,TRUE,TRUE,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
