"target_eB","n","kappa_pattern","method","reps","successful_reps","computational_failure_reps","zero_support_reps","selected_q_valid_n","selected_q_mean","selected_q_sd","selected_q_mcse","common_q_selected_valid_n","common_q_selected_mean","common_q_selected_sd","common_q_selected_mcse","decision_q_selected_valid_n","decision_q_selected_mean","decision_q_selected_sd","decision_q_selected_mcse","noise_q_selected_valid_n","noise_q_selected_mean","noise_q_selected_sd","noise_q_selected_mcse","TPR_valid_n","TPR_mean","TPR_sd","TPR_mcse","FPR_valid_n","FPR_mean","FPR_sd","FPR_mcse","Precision_valid_n","Precision_mean","Precision_sd","Precision_mcse","F1_all_valid_n","F1_all_mean","F1_all_sd","F1_all_mcse","ARI_all_valid_n","ARI_all_mean","ARI_all_sd","ARI_all_mcse","MSE_mu_valid_n","MSE_mu_mean","MSE_mu_sd","MSE_mu_mcse","MSE_kappa_valid_n","MSE_kappa_mean","MSE_kappa_sd","MSE_kappa_mcse","MSE_centered_eta_valid_n","MSE_centered_eta_mean","MSE_centered_eta_sd","MSE_centered_eta_mcse","loglik_valid_n","loglik_mean","loglik_sd","loglik_mcse","test_NLL_valid_n","test_NLL_mean","test_NLL_sd","test_NLL_mcse"
0.025,300,"equal","D-L",100,100,0,0,100,199.58,0.638495706858525,0.0638495706858525,100,4,0,0,100,16,0,0,100,179.58,0.638495706858525,0.0638495706858525,100,1,0,0,100,0.997717391304348,0.00347008536336161,0.000347008536336161,100,0.0801691696960937,0.000257691313652564,2.57691313652564e-05,100,0.14843806992583,0.000441563152256113,4.41563152256113e-05,100,0.887194788747665,0.0337988545447591,0.00337988545447591,100,0.0012428319171356,8.14411605924958e-05,8.14411605924958e-06,100,54.2395317372954,10.8312222803249,1.08312222803249,100,2.43752843019145,0.156850164210292,0.0156850164210292,100,74624.4252977807,48.0942109550657,4.80942109550657,0,NA,NA,NA
0.025,300,"equal","D-GL",100,100,0,0,100,40.32,19.5778064412361,1.95778064412361,100,4,0,0,100,16,0,0,100,20.32,19.5778064412361,1.95778064412361,100,1,0,0,100,0.132173913043478,0.10640112196324,0.010640112196324,100,0.488392977191537,0.212575240155653,0.0212575240155653,100,0.629602447276181,0.189908086008394,0.0189908086008394,100,0.925550622416623,0.0256412027040571,0.00256412027040571,100,0.000421097815219978,0.000231444883584707,2.31444883584707e-05,100,10.2247976526357,7.52095147386916,0.752095147386916,100,0.721008651375868,0.419262536623281,0.0419262536623281,100,74339.7728561057,85.3897539573407,8.53897539573407,0,NA,NA,NA
0.025,300,"equal","D-AGL",100,100,0,0,100,47.16,19.9670030831172,1.99670030831172,100,4,0,0,100,16,0,0,100,27.16,19.9670030831172,1.99670030831172,100,1,0,0,100,0.169347826086957,0.108516321103898,0.0108516321103898,100,0.415264544133311,0.200448677414306,0.0200448677414306,100,0.561170518122348,0.184273052579523,0.0184273052579523,100,0.919772586038151,0.0289654184893847,0.00289654184893847,100,0.000503769194770689,0.000232342469833891,2.32342469833891e-05,100,12.1489220475255,7.58165085088946,0.758165085088946,100,0.87250549742026,0.421972944472754,0.0421972944472754,100,74364.7533777753,79.6243953109087,7.96243953109087,0,NA,NA,NA
0.025,300,"equal","E-L",100,100,0,0,100,197.69,1.64957907088782,0.164957907088782,100,3.97,0.171446607997765,0.0171446607997765,100,16,0,0,100,177.72,1.65803827129862,0.165803827129862,100,1,0,0,100,0.987445652173913,0.00896510364612946,0.000896510364612946,100,0.0809404065233247,0.000679105134335172,6.79105134335172e-05,100,0.149758516648768,0.00116192758638261,0.000116192758638261,100,0.88543304488309,0.0336401089041288,0.00336401089041288,100,0.00124540186993186,8.23303588560419e-05,8.23303588560418e-06,100,54.1204968060754,11.0056044631651,1.10056044631651,100,2.44251633420257,0.158223293960076,0.0158223293960076,100,74624.4057148886,48.1214798466955,4.81214798466955,0,NA,NA,NA
0.025,300,"equal","E-CGL",100,100,0,0,100,16.37,1.3,0.13,100,0.02,0.14070529413629,0.014070529413629,100,16,0,0,100,0.35,1.24214704963997,0.124214704963997,100,1,0,0,100,0.00201086956521739,0.00706521739130435,0.000706521739130435,100,0.981804196766426,0.056564731451491,0.0056564731451491,100,0.989883818715956,0.0331432337902576,0.00331432337902576,100,0.93646718131666,0.0227056966186966,0.00227056966186966,100,0.000410848238889558,4.40203366767961e-05,4.40203366767961e-06,100,7.48060979300198,3.89627560190709,0.389627560190709,100,0.193577523346559,0.0618496811744382,0.00618496811744382,100,74338.6491596095,50.4738428677695,5.04738428677695,100,-246.939260120467,0.080354248483856,0.0080354248483856
0.025,300,"equal","E-ACGL",100,100,0,0,100,18.53,8.00309914718017,0.800309914718017,100,0.04,0.242878362539562,0.0242878362539562,100,16,0,0,100,2.49,7.90792340157974,0.790792340157974,100,1,0,0,100,0.01375,0.0434951040607618,0.00434951040607618,100,0.933515798224926,0.171875907782777,0.0171875907782777,100,0.954707125374674,0.124595212064801,0.0124595212064801,100,0.934912000442326,0.02417499637759,0.002417499637759,100,0.000435861965187934,9.74624227160964e-05,9.74624227160964e-06,100,8.41646166857024,5.08934050837702,0.508934050837702,100,0.255204016456776,0.220596658306645,0.0220596658306645,100,74346.5161835803,57.4114100337129,5.74114100337129,100,-246.910870615649,0.132065646877688,0.0132065646877688
0.025,300,"heterogeneous","D-L",100,100,0,0,100,199.59,0.726065917924617,0.0726065917924617,100,4,0,0,100,16,0,0,100,179.59,0.726065917924617,0.0726065917924617,100,1,0,0,100,0.997771739130435,0.00394601042350342,0.000394601042350342,100,0.0801653957241933,0.000294011546625712,2.94011546625712e-05,100,0.148431569348904,0.000503672524556509,5.03672524556509e-05,100,0.872034862506461,0.0352606798766406,0.00352606798766406,100,0.00143076667615347,0.000104953157684298,1.04953157684298e-05,100,61.3408935200361,11.8945600170757,1.18945600170757,100,2.48734470143151,0.154447054516546,0.0154447054516546,100,74685.2258987593,59.8721371366854,5.98721371366854,0,NA,NA,NA
0.025,300,"heterogeneous","D-GL",100,100,0,0,100,43.99,22.7545067131234,2.27545067131234,100,3.96,0.315268043724605,0.0315268043724605,100,16,0,0,100,24.03,22.7100542856367,2.27100542856367,100,1,0,0,100,0.152119565217391,0.123665797353931,0.0123665797353931,100,0.467191218474589,0.229047106358078,0.0229047106358078,100,0.605108006031438,0.206651424437145,0.0206651424437145,100,0.91109226522646,0.0291639066009567,0.00291639066009567,100,0.000562448750328072,0.000297974011080011,2.97974011080011e-05,100,12.7860178587816,9.70545767817116,0.970545767817116,100,0.791938217080113,0.456477842680873,0.0456477842680873,100,74409.238376384,93.8232989535239,9.38232989535239,0,NA,NA,NA
0.025,300,"heterogeneous","D-AGL",100,100,0,0,100,58.31,25.0545646963026,2.50545646963026,100,3.99,0.1,0.01,100,16,0,0,100,38.32,25.0389111326166,2.50389111326166,100,1,0,0,100,0.229945652173913,0.136166112479905,0.0136166112479905,100,0.343876553684859,0.184421069147175,0.0184421069147175,100,0.487304244580366,0.18161630171579,0.018161630171579,100,0.900292945349573,0.0303073452104059,0.00303073452104059,100,0.000745727624241844,0.000293197921140785,2.93197921140784e-05,100,18.8621218851962,10.8089221557042,1.08089221557042,100,1.0894720623831,0.464007007886068,0.0464007007886068,100,74456.5401128753,94.1357172177047,9.41357172177047,0,NA,NA,NA
0.025,300,"heterogeneous","E-L",100,100,0,0,100,197.96,1.49693289121727,0.149693289121727,100,3.9,0.301511344577764,0.0301511344577764,100,16,0,0,100,178.06,1.46900639820928,0.146900639820928,100,1,0,0,100,0.988913043478261,0.00813550484357205,0.000813550484357205,100,0.0808290083453919,0.000614404745727159,6.14404745727159e-05,100,0.149567948189314,0.00105147218544204,0.000105147218544204,100,0.869306851139506,0.035307445080427,0.0035307445080427,100,0.00143656971683372,0.00010483589189891,1.0483589189891e-05,100,61.2462783161681,11.5806192054525,1.15806192054525,100,2.49698335378072,0.156167857442282,0.0156167857442282,100,74685.2313759666,59.8583198381373,5.98583198381373,0,NA,NA,NA
