"scenario","method","reps","valid_reps","error_reps","not_available_reps","status_summary","ARI","NMI","purity","K_fit","loglik","elapsed_sec","selected_q","common_q_selected","decision_q_selected","noise_q_selected","TPR","FPR","Precision","F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max"
"S1","Spherical k-means",50,50,0,0,"ok",0.768479070126408,0.739938924280452,0.90278,4,NA,0.174399999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9975318136829,80.6453289072677,97.8913697990271
"S1","Dense vMF free kappa",50,50,0,0,"ok",0.836335265983022,0.801439239390439,0.934,4,248013.22961897,1.4768,NA,NA,NA,NA,NA,NA,NA,NA,0.000528421774375262,6.25951454519771,0.740546327758758,47.1452753399525,89.9975318136829,80.6453289072677,97.8913697990271
"S1","Sparse k-means",50,50,0,0,"ok",0.66886360150725,0.669151457780819,0.82636,4,NA,27.7988,52.36,0.72,15.2,36.44,0.95,0.20195652173913,0.645107924611183,0.673794632756833,NA,NA,NA,NA,89.9975318136829,80.6453289072677,97.8913697990271
"S1","dbmovMFs",50,0,0,50,"not_available: dbmovMFs package not installed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9975318136829,80.6453289072677,97.8913697990271
"S2","Spherical k-means",50,50,0,0,"ok",0.876748067854081,0.828882828321805,0.95224,4,NA,0.106999999999971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90
"S2","Dense vMF free kappa",50,50,0,0,"ok",0.880407830049743,0.833057729587336,0.95372,4,247776.753272369,0.811600000000053,NA,NA,NA,NA,NA,NA,NA,NA,0.000425514279248051,5.32791406120804,0.709190589454165,47.0195786923334,90,90,90
"S2","Sparse k-means",50,50,0,0,"ok",0.814557145947387,0.772437696377082,0.91528,4,NA,28.2878,132.78,2.56,15.02,115.2,0.93875,0.64,0.4112,0.41333939768467,NA,NA,NA,NA,90,90,90
"S2","dbmovMFs",50,0,0,50,"not_available: dbmovMFs package not installed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90
"S3","Spherical k-means",50,50,0,0,"ok",0.492414142014641,0.497898708838132,0.71286,4,NA,0.148200000000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.0214738508107,42.0745679250278,86.0631780897622
"S3","Dense vMF free kappa",50,50,0,0,"ok",0.539290646957737,0.552359086057919,0.73152,4,248296.477170991,3.86819999999998,NA,NA,NA,NA,NA,NA,NA,NA,0.0013070653365596,103.014152025444,2.2905873190454,49.5254286386879,66.0214738508107,42.0745679250278,86.0631780897622
