"scenario","method","reps","valid_reps","error_reps","not_available_reps","status_summary","ARI","NMI","purity","K_fit","loglik","elapsed_sec","selected_q","common_q_selected","decision_q_selected","noise_q_selected","TPR","FPR","Precision","F1","MSE_mu","MSE_kappa","MSE_centered_eta","kappa_hat_mean","mu_pairwise_angle_mean","mu_pairwise_angle_min","mu_pairwise_angle_max"
"S1-N","Spherical k-means","50","50","0","0","ok","0.770314609939226","0.740248218390009","0.90358","4","NA","0.174000000000007","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","89.9975318136828","80.6453289072677","97.8913697990271"
"S1-N","Dense vMF free kappa","50","50","0","0","ok","0.835390570769102","0.801699022226533","0.93352","4","248013.967130013","1.3924","NA","NA","NA","NA","NA","NA","NA","NA","0.000532140218620754","6.3677153686514","0.746024466314455","47.1902189417129","89.9975318136828","80.6453289072677","97.8913697990271"
"S1-N","Sparse k-means","50","50","0","0","ok","0.133425192138039","0.155159203635436","0.43688","4","NA","26.9634","82.16","1.12","49.4","31.64","0.6175","0.273","0.810680610254938","0.573880843501808","NA","NA","NA","NA","89.9975318136828","80.6453289072677","97.8913697990271"
"S1-N","dbmovMFs","50","0","0","50","not_available: dbmovMFs package not installed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","89.9975318136828","80.6453289072677","97.8913697990271"
"S2-N","Spherical k-means","50","50","0","0","ok","0.88014563701036","0.832503741591599","0.9536","4","NA","0.105399999999945","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","90","90","90"
"S2-N","Dense vMF free kappa","50","50","0","0","ok","0.885640021067172","0.839373116037328","0.95582","4","247775.474705499","0.780600000000004","NA","NA","NA","NA","NA","NA","NA","NA","0.000423000469955398","5.32370401408962","0.703226784877484","47.0138231756584","90","90","90"
"S2-N","Sparse k-means","50","50","0","0","ok","0.0584891726987244","0.0682175569385012","0.39682","4","NA","27.6134","128.32","2.38","57.48","68.46","0.7185","0.590333333333333","0.591017277651212","0.519907206689919","NA","NA","NA","NA","90","90","90"
"S2-N","dbmovMFs","50","0","0","50","not_available: dbmovMFs package not installed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","90","90","90"
"S3-N","Spherical k-means","50","50","0","0","ok","0.487605766096474","0.49210665653977","0.71056","4","NA","0.151000000000058","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.0214738508107","42.0745679250278","86.0631780897622"
"S3-N","Dense vMF free kappa","50","50","0","0","ok","0.545159194989158","0.558909176843468","0.74066","4","248291.608294591","3.97459999999995","NA","NA","NA","NA","NA","NA","NA","NA","0.00123727898914843","94.4917088528253","2.14503212361901","49.5179569546346","66.0214738508107","42.0745679250278","86.0631780897622"
"S3-N","Sparse k-means","50","50","0","0","ok","0.0628139967228454","0.0751687787826963","0.38848","4","NA","27.6402","91.56","1.7","41.1","48.76","0.51375","0.4205","0.720240547839874","0.37976529979466","NA","NA","NA","NA","66.0214738508107","42.0745679250278","86.0631780897622"
"S3-N","dbmovMFs","50","0","0","50","not_available: dbmovMFs package not installed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","66.0214738508107","42.0745679250278","86.0631780897622"
"S4-N","Spherical k-means","50","50","0","0","ok","0.507026877514567","0.459140957808547","0.78284","4","NA","0.28860000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.9999999999998","59.9999999999998","59.9999999999999"
"S4-N","Dense vMF free kappa","50","50","0","0","ok","0.561524837810365","0.510019216896629","0.81206","4","248061.805280661","2.09299999999996","NA","NA","NA","NA","NA","NA","NA","NA","0.000555717272967221","8.89041079451748","1.00814747760174","47.5813475767382","59.9999999999998","59.9999999999998","59.9999999999999"
"S4-N","Sparse k-means","50","50","0","0","ok","0.0261699740183616","0.0330217055299415","0.3518","4","NA","27.7108","114","2.3","49.22","62.48","0.61525","0.539833333333333","0.540261266258653","0.44455286197779","NA","NA","NA","NA","59.9999999999998","59.9999999999998","59.9999999999999"
"S4-N","dbmovMFs","50","0","0","50","not_available: dbmovMFs package not installed","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","59.9999999999998","59.9999999999998","59.9999999999999"
"S5-N","Spherical k-means","50","50","0","0","ok","0.0127999680399098","0.0169009053613478","0.3215","4","NA","0.173400000000111","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","29.4687235985673","19.3371188784568","38.490857350062"
